"file","sha256","bytes"
"01_spec_stack_gap_finder.md","FC6AC3B3A52C03B1413644144FD2FAE8808A57D1F7A62D5636B76C1CD70B8D55","8896"
"02_lean_module_plan_theorem_backlog.md","2E751209395D2133643546970D73DFE1F14B02FAB402C176DB7D997B5B00AA20","8130"
"03_tlaplus_concurrency_protocol_outline.md","17C3479C7DA8B9A47F08D31463B47B06ECCA694C5264C94771239D7DD1868591","8381"
"04_ocaml_oracle_cli_contract_shrinker.md","8EB9E079FC2F78CEAAB3072D9D4382E2862B546B61DEAF917F4AD442D7516568","8820"
"05_rust_engine_architecture_review.md","14C09C7BD1AD909BD5A9AE2FC96FA1B53F038882F1BFF245DBB99F48F23AEB75","9287"
"06_dotnet_engine_architecture_review.md","6044F3E800EAC0415D9D8B925B9122E1200ADFADAAA699F12ABC094E041A8226","9307"
"07_dotnet_meta_tool_obligation_resolver.md","B326C180D125DC1C07D9278BEFC9305768CE6CC744360F2B568D7D2DCA587F9E","9487"
"08_clean_room_evidence_log_workflow.md","23BAC0F18254F3C63F39299D120D41BB8FEE2593A9FEB9EEA2F7A1E29A2011C4","6906"
"09_canvas_grid_reliability_test_strategy.md","CE03DB073D3EC4906F201C733269E3DD24C2FBBE01F45B11F6D0F6F1E4751ADD","9883"
"10_scaling_signature_suite.md","3492D0AF95FE556858FB0E3CA4AE826FCCDFAC06E2C3295DE8DBD469BBA0C332","9317"
"11_degrade_gracefully_matrix.md","5D7D5BAF958531A688F924361817E03FF16267C212402C32E678210E02765589","8375"
"12_oplog_replication_seam.md","7033BE5C4608FDCE4AA294B5FDE3AE456C52C19C94124A350AECA2565B1ADCBB","6850"
"13_round_milestone_map.md","9D9F6C355A5CECE0351F0F55170C0589B55E9C8F8B1FBCDCBB71AB52897DDC5A","9620"
"14_consistency_audit_refactor_suggestions.md","07AF5B7241D0D49BBF782ECF32BBFEB7DE1F6A22F6DB139162B0BAB38EFAA16C","6421"
"15_triad_design_stream_external_updates.md","1B74CBC2374D5C730DF1EEC99BDEA59196408E7AA8F7EE08B75B22365B7C9F6B","8533"
"16_triad_assurance_stream_external_updates.md","E53635B7263F8C48DE7119F8B2D0B6BC42C5156C4C2BD498C531FBDBA923CAD5","9838"
"17_triad_delivery_stream_external_updates.md","E6D28FB0DC7E8B4546EB37E1C1B8EFE4C72E34B54522D8CBE63896DC9869E484","5719"
"18_triad_synthesis_stream_external_updates.md","14DA4F929FDB11655210271C42AF9C4E49F195E38A3B91A8488474B0E67641F4","8557"
