"copied_path","sha256","size_bytes","last_write_utc"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\ARCHITECTURE_AND_REQUIREMENTS.md","8e2103c2b522c38ca1e713e48ae7de9a4ee2bc24e1eb46869496e3b68a4ea5b3","20359","2026-02-28T09:59:19Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\CHARTER.md","bd151b3f2eeafc7b5870cc7da7517b5660de8000ce4967cc21b3ad4f8753f4d1","5930","2026-02-27T12:48:02Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\CORE_ENGINE_FORMAL_MODEL.md","7f2370ad60edb29b65e508cb99a0bee4ddbd8acd51a46d1849846acfccc0108b","13952","2026-02-27T19:36:50Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\OPERATIONS.md","95e89c7381343037e60ee053b33923e6006e5eaa44f3993c2538597b925d5789","13605","2026-02-27T17:34:31Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\archive\formal-model\FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","bd931e7cd561c44ecf876216f3f748395bfabcb51821c65860cd7710a78e9ae1","7073","2026-02-27T06:42:18Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\archive\formal-model\FORMAL_MODEL_REMAINING_NOTES.md","bedd27d69098a8492bc150102feeecc8571789b4f33f16ce9569d8da8d0c6d8c","2863","2026-02-25T22:30:57Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\archive\formal-model\FORMAL_MODELS_IDEAS.md","7d5059d62f7e55cdabc7a7783833cff5f5f4a0e9d7b9024c009234b1f52838ed","26362","2026-02-25T10:07:40Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\BRAINSTORM_NOTES.md","667892cedac657c3384b38668892f966b8a67a5f0c338f4af83b59764c173490","7346","2026-02-27T12:48:47Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","58211641ac0ecd4cb7f939fd0e511c6156a01f5e4d8b968878c742943a7b7be6","328","2026-02-27T18:09:14Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\FORMAL_MODEL_REMAINING_NOTES.md","141750925a2d0c091480780e5719cecabad2dbbadeeca2e21f1b5218ce39cdc5","298","2026-02-27T18:09:14Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\FORMAL_MODELS_IDEAS.md","3dcf19c4d8f8ef4306c33747e611836acd7cc9f3ffc23ba449441578d6512ff9","280","2026-02-27T18:09:14Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\ENGINE_API.md","85a39def01bb4b130dd891ad14a693e32a54815ce217f4f227237fb4754e4ac1","48983","2026-02-27T23:11:59Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\ENGINE_REQUIREMENTS.md","6113b368b21eb61371e6f3d20f0f6c9fd83bc810a8e3b6aa77248aea1e3a660b","13865","2026-02-27T23:11:54Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\SPEC_v0_INTEGRATION_APPENDIX.md","6c985f0648c9b2949e9725234a787512eecef30224ca774d0429b3e50dbcb398","2033","2026-02-27T18:25:56Z"
"C:\Work\DnaCalc\Foundation\prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\SPEC_v0.md","9e7e5eb9fe44e9a5f35c37f61f80cfd2c7650dd4a729f283d02fc706b5a5ee7d","7357","2026-02-27T23:11:47Z"
