"path","sha256"
"inputs/source/dag-research-synthesis__04_dnacalc_transfer_matrix.md","4B2109E9F81401DFF9D4DF639C635C30854C0E4CF172C272DC8B9DE7C542C4CA"
"inputs/source/dag-research-synthesis__05_deep_research_synthesis.md","28569A907FD63F4193FAB0ECC772DDDB14958F255B44D53BECD1754D9EE3FF19"
"inputs/source/dag-research-synthesis__10_conformance_and_proof_obligations.md","D76732D035286E9BA05C38202126AB94328059B26E63412C35B264AD8335C3FF"
"inputs/source/dag-research-synthesis__11_empirical_pack_definitions.md","8703026384A6C397B1C4EDA214A25BA0A187A8F33F6EDE0F92BC7F9F2080555E"
"inputs/source/dnavisicalc-spec__ENGINE_API.md","9E7CB07C088897AC7C52C2D8F3BF34BFAAD4A449DB7DA0B26B8A98C636FC498D"
"inputs/source/dnavisicalc-spec__ENGINE_REQUIREMENTS.md","3FD1325AE66DBB5F5D228D13E47C3592E2BDF441091897A91B036FF3FE9D715C"
"inputs/source/dnavisicalc-spec__SPEC_v0.md","9E7E5EB9FE44E9A5F35C37F61F80CFD2C7650DD4A729F283D02FC706B5A5EE7D"
"inputs/source/fec-f3e-current-spec__CURRENT_SPEC_SET.md","A8BAF642DF2CBD4782AEBE79910B46900629651FFE82532395D123122178881A"
"inputs/source/fec-f3e-current-spec__ENGINE_FEC_F3E_FOUNDATION_UPDATED_SPEC_POINTERS_PROMPT.md","95FD3F3292DE94B8586AD05D1553F6E00885D23861D08ACD669DD4B022FC7B8E"
"inputs/source/fec-f3e-current-spec__ENGINE_FEC_F3E_REDESIGN_OBSERVATIONS.md","A9F6DF0B446834C45FAB18C171E51D3EFC66C51389F87E92BEB1254BA6A2BFF2"
"inputs/source/fec-f3e-current-spec__ENGINE_FEC_F3E_REDESIGN_SPEC.md","3ADF80AFB382EC436CFA7367A7C30A36513421E91D1F9C322FD7860B117B3F7E"
"inputs/source/fec-f3e-evidence__EXAM_SUMMARY.md","FEA48C2AA9A201795A1552DF04DB4EAD756F0F0E8376AAAD0CA157B1464F8D26"
"inputs/source/fec-f3e-summary__implementation_and_runtime_evidence_compact.md","27B82176DE2B79D31C233371966D29E52CFD15068F55F4E6EB9B41C9D2164384"
"inputs/source/foundation-core__ARCHITECTURE_AND_REQUIREMENTS.md","52C35E153B9F9B2BF01D30637BD1482A70966D6B14092FD42F7F04308375F3AE"
"inputs/source/foundation-core__CHARTER.md","BD151B3F2EEAFC7B5870CC7DA7517B5660DE8000CE4967CC21B3AD4F8753F4D1"
"inputs/source/foundation-core__CORE_ENGINE_FORMAL_MODEL.md","7F2370AD60EDB29B65E508CB99A0BEE4DDBD8ACD51A46D1849846ACFCCC0108B"
"inputs/source/foundation-core__OPERATIONS.md","91C9B1D6BDEA6CAB4DF765BDB4406CE75B4D68F1024A2DE045F4349FA4A2401D"
"inputs/source/foundation-core__README.md","F14408C46CCAA1E9324F1100BC2F5ED997C6DBD11A4FDEE251A12BC678B7856C"
"inputs/source/synthesis-context__foundation_notes_and_design_draft_compact.md","92BBED75A5C6076D3DA0FA931ABE1DB80B6769133E0129CEEB2798F15B94BD05"
