"name","description","language","stargazers_count","pushed_at","html_url"
"async","Jane Street Capital's asynchronous execution library","OCaml","232","2026/01/15 21:33:16","https://github.com/janestreet/async"
"async_kernel","Jane Street Capital's asynchronous execution library (core)","OCaml","57","2026/01/15 21:33:31","https://github.com/janestreet/async_kernel"
"async_rpc_kernel","Platform-independent core of Async RPC library","OCaml","9","2026/01/15 21:33:34","https://github.com/janestreet/async_rpc_kernel"
"base","Standard library for OCaml","OCaml","1011","2026/01/15 21:33:53","https://github.com/janestreet/base"
"bin_prot","Binary protocol generator","OCaml","87","2026/01/15 21:34:08","https://github.com/janestreet/bin_prot"
"bonsai","A library for building dynamic webapps, using Js_of_ocaml","OCaml","639","2026/01/15 21:34:12","https://github.com/janestreet/bonsai"
"core","Jane Street Capital's standard library overlay","OCaml","1206","2026/01/15 21:34:51","https://github.com/janestreet/core"
"core_kernel","Jane Street's standard library overlay (kernel)","OCaml","219","2026/01/15 21:34:56","https://github.com/janestreet/core_kernel"
"core_unix","Unix-specific portions of Core","OCaml","18","2026/01/15 21:35:00","https://github.com/janestreet/core_unix"
"expect_test_helpers_core","Helpers for writing expectation tests","OCaml","5","2026/01/15 21:35:21","https://github.com/janestreet/expect_test_helpers_core"
"fieldslib","OCaml record fields as first class values","Makefile","22","2026/01/15 21:35:22","https://github.com/janestreet/fieldslib"
"incremental","A library for incremental computations","OCaml","966","2026/01/15 21:36:29","https://github.com/janestreet/incremental"
"ppx_jane","Standard Jane Street ppx rewriters","OCaml","37","2026/01/15 21:39:22","https://github.com/janestreet/ppx_jane"
"ppxlib","Base library and tools for ppx rewriters","OCaml","4","2026/02/05 15:36:09","https://github.com/janestreet/ppxlib"
"sexplib","Automated S-expression conversion","OCaml","174","2026/01/15 21:40:53","https://github.com/janestreet/sexplib"
"stdio","Standard IO Library for OCaml","OCaml","40","2026/01/15 21:41:13","https://github.com/janestreet/stdio"
"virtual_dom","OCaml bindings for the virtual-dom library ","OCaml","58","2026/02/17 22:46:34","https://github.com/janestreet/virtual_dom"
