repo,head,head_date,top_level_dirs,top_level_files,ml_mli_files,readme_lines
base,14b656e5a4501f8ce08e6559511ee110f6283f81,2026-01-14 01:07:04 +0000,9,10,585,158
core,4b7f751d84476a476e2e2551bf6f4f548cbde24b,2026-01-14 01:07:04 +0000,6,8,586,0
core_kernel,79e899cab9a93392d96926ae94d1731419a45620,2026-01-14 01:07:04 +0000,36,8,234,0
stdio,8bf8878afae5cc80b2bca7c602021a2a4bed2e50,2026-01-14 01:07:05 +0000,1,9,6,6
async,6b6691cdcbde3aeef5f8ca598eb51a9bf5676624,2026-01-14 01:07:04 +0000,10,9,148,11
async_kernel,1aaa96070591493a01af70e823ebe37ec34c991a,2026-01-14 01:07:04 +0000,7,9,154,8
ppx_jane,7228d0a7708c8861e876eded67f1f47b090ad0e0,2026-01-14 01:07:05 +0000,3,10,5,16
sexplib,16ed74eb78c67e76e6cf9219c1b06b93b8c01c53,2026-01-14 01:07:05 +0000,6,13,54,109
bin_prot,6b634a459f3eab4ede123fec46025acda8ab5a90,2026-01-14 01:07:04 +0000,4,15,67,258
bonsai,8e6c34dceff46c92c3db58d7801da805417139ad,2026-01-14 01:07:04 +0000,5,10,204,21
