"name","full_name","html_url","description","language","stargazers_count","forks_count","open_issues_count","created_at","updated_at","pushed_at","archived","default_branch"
"async","janestreet/async","https://github.com/janestreet/async","Jane Street Capital's asynchronous execution library","OCaml","232","23","0","2013/01/29 16:47:32","2026/02/01 18:47:00","2026/01/15 21:33:16","False","master"
"async_kernel","janestreet/async_kernel","https://github.com/janestreet/async_kernel","Jane Street Capital's asynchronous execution library (core)","OCaml","57","32","0","2013/01/29 16:52:46","2026/01/14 01:07:17","2026/01/15 21:33:31","False","master"
"async_extra","janestreet/async_extra","https://github.com/janestreet/async_extra","Jane Street Capital's asynchronous execution library (extra)","OCaml","17","6","2","2013/01/29 16:53:21","2026/01/14 01:07:17","2026/01/15 21:33:20","False","master"
"async_unix","janestreet/async_unix","https://github.com/janestreet/async_unix","Jane Street Capital's asynchronous execution library (unix)","OCaml","34","20","0","2013/01/29 16:53:50","2026/01/14 01:07:17","2026/01/15 21:33:46","False","master"
"bin_prot","janestreet/bin_prot","https://github.com/janestreet/bin_prot","Binary protocol generator","OCaml","87","23","3","2013/01/29 16:54:34","2026/01/14 01:07:17","2026/01/15 21:34:08","False","master"
"core","janestreet/core","https://github.com/janestreet/core","Jane Street Capital's standard library overlay","OCaml","1206","125","13","2013/01/29 16:55:29","2026/02/21 08:51:52","2026/01/15 21:34:51","False","master"
"core_extended","janestreet/core_extended","https://github.com/janestreet/core_extended","Jane Street Capital's standard library overlay","OCaml","37","9","0","2013/01/29 16:57:44","2026/01/14 01:07:19","2026/01/15 21:34:55","False","master"
"fieldslib","janestreet/fieldslib","https://github.com/janestreet/fieldslib","OCaml record fields as first class values","Makefile","22","4","0","2013/01/29 16:58:18","2026/01/14 01:07:20","2026/01/15 21:35:22","False","master"
"sexplib","janestreet/sexplib","https://github.com/janestreet/sexplib","Automated S-expression conversion","OCaml","174","30","5","2013/01/29 17:00:02","2026/02/14 15:25:48","2026/01/15 21:40:53","False","master"
"variantslib","janestreet/variantslib","https://github.com/janestreet/variantslib","OCaml variants as first class values","Makefile","10","4","0","2013/01/29 17:02:33","2026/01/14 01:07:37","2026/01/15 21:41:59","False","master"
"janestreet.github.com","janestreet/janestreet.github.com","https://github.com/janestreet/janestreet.github.com","Front page","HTML","19","15","3","2013/01/30 19:11:27","2023/03/16 02:18:26","2020/05/08 09:13:02","False","master"
"patdiff","janestreet/patdiff","https://github.com/janestreet/patdiff","File Diff using the Patience Diff algorithm. https://opensource.janestreet.com/patdiff/","OCaml","244","19","4","2013/02/07 19:25:59","2026/02/16 22:45:46","2026/01/15 21:37:49","False","master"
"ocaml_plugin","janestreet/ocaml_plugin","https://github.com/janestreet/ocaml_plugin","(Archived) Automatically build and dynlink ocaml source files","OCaml","59","4","2","2013/02/27 15:06:50","2024/11/04 23:48:13","2023/10/16 10:37:59","True","master"
"async_find","janestreet/async_find","https://github.com/janestreet/async_find","Directory traversal with Async","OCaml","6","1","0","2013/03/22 09:30:12","2026/01/14 01:07:17","2026/01/15 21:33:21","False","master"
"async_shell","janestreet/async_shell","https://github.com/janestreet/async_shell","Shell helpers for Async","OCaml","6","2","0","2013/03/22 09:31:26","2026/01/14 01:07:17","2026/01/15 21:33:39","False","master"
"async_inotify","janestreet/async_inotify","https://github.com/janestreet/async_inotify","Async wrapper for inotify","OCaml","9","4","0","2013/03/22 09:32:43","2026/01/14 01:07:16","2026/01/15 21:33:23","False","master"
"jenga","janestreet/jenga","https://github.com/janestreet/jenga","Build system",,"89","12","16","2013/03/22 09:33:20","2025/10/25 03:46:51","2018/09/19 09:23:09","True","master"
"async_parallel","janestreet/async_parallel","https://github.com/janestreet/async_parallel","Distributed computing library","OCaml","34","6","0","2013/05/15 08:02:29","2025/10/24 12:07:39","2018/08/07 13:54:32","False","master"
"re2","janestreet/re2","https://github.com/janestreet/re2","OCaml bindings for RE2","C++","48","20","5","2013/05/21 16:40:57","2026/01/14 01:07:32","2026/01/15 21:40:31","False","master"
"core_bench","janestreet/core_bench","https://github.com/janestreet/core_bench","Micro-benchmarking library for OCaml","OCaml","56","14","12","2013/05/21 16:41:36","2026/01/16 03:12:35","2026/01/15 21:34:53","False","master"
"textutils","janestreet/textutils","https://github.com/janestreet/textutils",,"OCaml","18","6","0","2013/05/21 16:42:20","2026/01/14 01:07:35","2026/01/15 21:41:22","False","master"
"typerep","janestreet/typerep","https://github.com/janestreet/typerep","Runtime types for OCaml (beta version)","OCaml","27","9","2","2013/05/23 10:34:04","2026/01/14 01:07:36","2026/01/15 21:41:43","False","master"
"core_kernel","janestreet/core_kernel","https://github.com/janestreet/core_kernel","Jane Street's standard library overlay (kernel)","OCaml","219","64","8","2013/06/05 13:52:26","2026/01/14 01:07:19","2026/01/15 21:34:56","False","master"
"lwt-async","janestreet/lwt-async","https://github.com/janestreet/lwt-async","Lwt with async backend","OCaml","18","7","0","2013/09/02 08:25:51","2025/10/25 03:58:53","2014/01/02 11:16:51","False","master"
"async_ssl","janestreet/async_ssl","https://github.com/janestreet/async_ssl","Async wrappers for ssl","OCaml","29","25","1","2014/03/20 09:09:48","2026/01/14 01:07:17","2026/01/15 21:33:43","False","master"
"bignum","janestreet/bignum","https://github.com/janestreet/bignum","Core-flavoured wrapper around zarith's arbitrary-precision rationals","OCaml","10","3","1","2014/04/02 16:25:44","2026/01/14 01:07:17","2026/01/15 21:34:05","False","master"
"patience_diff","janestreet/patience_diff","https://github.com/janestreet/patience_diff","Tool and library implementing patience diff","OCaml","24","6","0","2014/05/13 09:27:21","2026/01/14 01:07:26","2026/01/15 21:37:51","False","master"
"rpc_parallel","janestreet/rpc_parallel","https://github.com/janestreet/rpc_parallel","Type-safe library for building parallel applications, built on top of Async's Rpc module.","OCaml","50","14","2","2014/09/26 15:38:15","2026/01/14 01:07:32","2026/01/15 21:40:42","False","master"
