"name","language","stargazers_count","forks_count","pushed_at","html_url"
"magic-trace","OCaml","5238","124","2026/01/14 16:22:42","https://github.com/janestreet/magic-trace"
"core","OCaml","1206","125","2026/01/15 21:34:51","https://github.com/janestreet/core"
"base","OCaml","1011","159","2026/01/15 21:33:53","https://github.com/janestreet/base"
"hardcaml","OCaml","976","57","2026/01/15 21:35:39","https://github.com/janestreet/hardcaml"
"incremental","OCaml","966","64","2026/01/15 21:36:29","https://github.com/janestreet/incremental"
"learn-ocaml-workshop","OCaml","669","170","2022/04/04 20:26:05","https://github.com/janestreet/learn-ocaml-workshop"
"bonsai","OCaml","639","44","2026/01/15 21:34:12","https://github.com/janestreet/bonsai"
"incr_dom","OCaml","393","33","2026/01/15 21:36:20","https://github.com/janestreet/incr_dom"
"ecaml","OCaml","283","12","2026/01/15 21:35:10","https://github.com/janestreet/ecaml"
"patdiff","OCaml","244","19","2026/01/15 21:37:49","https://github.com/janestreet/patdiff"
"async","OCaml","232","23","2026/01/15 21:33:16","https://github.com/janestreet/async"
"core_kernel","OCaml","219","64","2026/01/15 21:34:56","https://github.com/janestreet/core_kernel"
"ppx_expect","OCaml","184","31","2026/01/15 21:38:56","https://github.com/janestreet/ppx_expect"
"iron","","178","19","2020/01/14 10:05:18","https://github.com/janestreet/iron"
"sexplib","OCaml","174","30","2026/01/15 21:40:53","https://github.com/janestreet/sexplib"
"vcaml","OCaml","171","5","2026/01/15 21:42:01","https://github.com/janestreet/vcaml"
"torch","OCaml","148","12","2026/01/15 21:41:39","https://github.com/janestreet/torch"
"shexp","OCaml","146","8","2026/01/15 21:41:06","https://github.com/janestreet/shexp"
"ppx_inline_test","OCaml","142","23","2026/01/15 21:39:19","https://github.com/janestreet/ppx_inline_test"
"bonsai_term","OCaml","134","1","2026/01/15 21:34:18","https://github.com/janestreet/bonsai_term"
"opam-repository","","133","29","2026/01/14 01:07:13","https://github.com/janestreet/opam-repository"
"ppx_let","OCaml","128","13","2026/01/15 21:39:28","https://github.com/janestreet/ppx_let"
"pythonlib","OCaml","97","12","2024/07/30 06:37:55","https://github.com/janestreet/pythonlib"
"install-ocaml","OCaml","97","17","2019/12/20 19:16:04","https://github.com/janestreet/install-ocaml"
"ppx_sexp_conv","OCaml","94","18","2026/01/15 21:39:49","https://github.com/janestreet/ppx_sexp_conv"
"jenga","","89","12","2018/09/19 09:23:09","https://github.com/janestreet/jenga"
"bin_prot","OCaml","87","23","2026/01/15 21:34:08","https://github.com/janestreet/bin_prot"
"memtrace","OCaml","74","18","2026/01/15 21:37:06","https://github.com/janestreet/memtrace"
"ppx_yojson_conv","OCaml","70","10","2026/01/15 21:40:24","https://github.com/janestreet/ppx_yojson_conv"
"ppx_optcomp","OCaml","68","18","2026/01/15 21:39:35","https://github.com/janestreet/ppx_optcomp"
"spawn","C","66","21","2024/11/11 23:46:40","https://github.com/janestreet/spawn"
"ppx_fields_conv","OCaml","63","11","2026/01/15 21:38:59","https://github.com/janestreet/ppx_fields_conv"
"accessor","OCaml","61","2","2026/01/15 21:33:08","https://github.com/janestreet/accessor"
"ocaml_plugin","OCaml","59","4","2023/10/16 10:37:59","https://github.com/janestreet/ocaml_plugin"
"virtual_dom","OCaml","58","21","2026/02/17 22:46:34","https://github.com/janestreet/virtual_dom"
"async_kernel","OCaml","57","32","2026/01/15 21:33:31","https://github.com/janestreet/async_kernel"
"core_bench","OCaml","56","14","2026/01/15 21:34:53","https://github.com/janestreet/core_bench"
"ppx_variants_conv","OCaml","51","8","2026/01/15 21:40:11","https://github.com/janestreet/ppx_variants_conv"
"rpc_parallel","OCaml","50","14","2026/01/15 21:40:42","https://github.com/janestreet/rpc_parallel"
"async_smtp","OCaml","49","7","2026/01/15 21:33:41","https://github.com/janestreet/async_smtp"
