"name","full_name","html_url","description","language","stargazers_count","forks_count","open_issues_count","created_at","updated_at","pushed_at","archived","default_branch"
"ocamlformat","oxcaml/ocamlformat","https://github.com/oxcaml/ocamlformat","Auto-formatter for OCaml code","OCaml","19","15","4","2018/04/11 10:34:41","2025/11/26 09:42:00","2025/11/26 09:41:54","False","jane"
"oxcaml","oxcaml/oxcaml","https://github.com/oxcaml/oxcaml","OCaml - Oxidized!","OCaml","655","136","581","2020/11/12 12:34:21","2026/02/20 20:43:38","2026/02/22 04:58:10","False","main"
"merlin","oxcaml/merlin","https://github.com/oxcaml/merlin","Merlin with support for Jane Street extensions","OCaml","18","19","5","2021/10/28 16:22:31","2026/02/21 00:22:31","2026/02/21 00:22:23","False","main"
"ocaml-lsp","oxcaml/ocaml-lsp","https://github.com/oxcaml/ocaml-lsp","OCaml Language Server Protocol implementation","OCaml","0","7","6","2024/10/23 16:48:17","2025/06/12 14:09:48","2026/01/15 01:50:28","False","master"
"opam-repository","oxcaml/opam-repository","https://github.com/oxcaml/opam-repository","OxCaml opam repository",,"2","12","7","2025/04/10 17:54:36","2026/02/20 21:39:23","2026/02/10 17:54:35","False","main"
"playground","oxcaml/playground","https://github.com/oxcaml/playground","OxCaml playground (for use with Codespaces)","OCaml","19","36","3","2025/06/11 17:31:58","2025/11/21 06:56:25","2025/07/25 16:29:25","False","main"
"odoc","oxcaml/odoc","https://github.com/oxcaml/odoc","Documentation compiler for OCaml and Reason","OCaml","0","1","1","2025/06/18 13:10:25","2025/07/17 11:58:09","2025/09/05 14:11:54","False","master"
"eio","oxcaml/eio","https://github.com/oxcaml/eio","Effects-based direct-style IO for multicore OCaml (fork for oxcaml compatibility)",,"0","0","0","2025/09/03 13:49:39","2025/09/03 13:49:40","2025/09/05 14:15:55","False","main"
"mdx","oxcaml/mdx","https://github.com/oxcaml/mdx","Execute code blocks inside your documentation",,"0","0","0","2025/09/05 14:20:55","2025/09/05 14:20:55","2025/10/10 23:02:51","False","main"
"js_of_ocaml","oxcaml/js_of_ocaml","https://github.com/oxcaml/js_of_ocaml","Compiler from OCaml to Javascript.","OCaml","2","0","0","2025/09/10 17:42:30","2025/09/15 13:59:16","2025/09/12 21:02:25","False","master"
"tutorial-icfp25","oxcaml/tutorial-icfp25","https://github.com/oxcaml/tutorial-icfp25","https://conf.researchr.org/details/icfp-splash-2025/icfp-splash-2025-tutorials/5/A-guided-tour-through-Oxidized-OCaml","HTML","19","8","1","2025/09/23 14:10:33","2026/02/02 20:37:21","2026/01/11 20:34:47","False","main"
"oxcaml-metrics","oxcaml/oxcaml-metrics","https://github.com/oxcaml/oxcaml-metrics","Metrics for oxcaml/oxcaml","Python","0","0","3","2025/09/24 10:06:31","2026/02/20 20:55:39","2026/02/20 20:55:35","False","main"
"utop","oxcaml/utop","https://github.com/oxcaml/utop","Universal toplevel for OxCaml",,"0","0","0","2025/10/07 20:40:45","2025/10/07 20:40:45","2026/01/15 02:05:20","False","master"
"dune","oxcaml/dune","https://github.com/oxcaml/dune","A composable build system for O(x)Caml.",,"0","0","0","2025/11/04 21:32:39","2025/11/04 21:32:39","2025/11/04 21:34:55","False","main"
