source_id,title,author_or_org,type,url,publish_date,accessed_utc,credibility_note,topic_id,tags
R4-S001,Jane Street GitHub org repository inventory,GitHub API,api_snapshot,https://api.github.com/orgs/janestreet/repos?per_page=100&page=1,2026-02-22,2026-02-22T12:34:25Z,Primary org-level source inventory,R-TOPIC-007,janestreet;inventory;ecosystem
R4-S002,Jane Street curated stack extraction,local analysis,local_analysis,research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/inputs/janestreet_curated_stack.csv,2026-02-22,2026-02-22T12:34:25Z,Derived from primary org API snapshot,R-TOPIC-007,janestreet;curated;stack
R4-S003,Base open-source page,Jane Street,project_page,https://opensource.janestreet.com/base,2026-02-22,2026-02-22T12:34:25Z,Primary project entry page,R-TOPIC-007,base;stdlib
R4-S004,Core open-source page,Jane Street,project_page,https://opensource.janestreet.com/core,2026-02-22,2026-02-22T12:34:25Z,Primary project entry page,R-TOPIC-007,core;stdlib
R4-S005,Incremental open-source page,Jane Street,project_page,https://opensource.janestreet.com/incremental,2026-02-22,2026-02-22T12:34:25Z,Primary project entry page,R-TOPIC-007,incremental;project
R4-S006,opam package page: base,OPAM,package_page,https://opam.ocaml.org/packages/base/,2026-02-22,2026-02-22T12:34:25Z,Primary package registry source,R-TOPIC-007,opam;base;version
R4-S007,opam package page: core,OPAM,package_page,https://opam.ocaml.org/packages/core/,2026-02-22,2026-02-22T12:34:25Z,Primary package registry source,R-TOPIC-007,opam;core;version
R4-S008,opam package page: incremental,OPAM,package_page,https://opam.ocaml.org/packages/incremental/,2026-02-22,2026-02-22T12:34:25Z,Primary package registry source,R-TOPIC-007,opam;incremental;version
R4-S009,OxCaml language extensions index,OxCaml,documentation,https://oxcaml.org/documentation/language-extensions/,2026-02-22,2026-02-22T12:34:25Z,Primary OxCaml language extension and upstreaming-status page,R-TOPIC-007,oxcaml;extensions;upstreaming
R4-S010,OxCaml get/install guide,OxCaml,documentation,https://oxcaml.org/get/,2026-02-22,2026-02-22T12:34:25Z,Primary OxCaml toolchain installation guidance,R-TOPIC-007,oxcaml;tooling;installation
R4-S011,OxCaml: tools and language for modern OCaml programming,OCaml Discuss,community_post,https://discuss.ocaml.org/t/oxcaml-tools-and-language-for-modern-ocaml-programming/16759,2025-01-16,2026-02-22T12:34:25Z,Primary public project announcement context,R-TOPIC-007,oxcaml;announcement
R4-S012,Towards Merging OxCaml and OCaml,OCaml Workshop 2024,conference_page,https://icfp24.sigplan.org/details/ocaml-2024-papers/3/Towards-Merging-OxCaml-and-OCaml,2024-09-06,2026-02-22T12:34:25Z,Primary workshop reference for merge/upstream trajectory,R-TOPIC-007,oxcaml;upstream;research
R4-S013,OxCaml compiler repo metadata,GitHub API,api_snapshot,https://api.github.com/repos/oxcaml/oxcaml,2026-02-22,2026-02-22T12:34:25Z,Primary repository metadata source,R-TOPIC-007,oxcaml;repo;metadata
R4-S014,OxCaml org repo inventory,GitHub API,api_snapshot,https://api.github.com/orgs/oxcaml/repos?per_page=100&page=1,2026-02-22,2026-02-22T12:34:25Z,Primary org-level source inventory,R-TOPIC-007,oxcaml;inventory
R4-S015,OxCaml branch inventory sample,GitHub API,api_snapshot,research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/inputs/oxcaml_branches.json,2026-02-22,2026-02-22T12:34:25Z,Primary branch-density and naming evidence,R-TOPIC-007,oxcaml;branches
R4-S016,OxCaml recent commits sample,GitHub API,api_snapshot,research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/inputs/oxcaml_recent_commits_page1.json,2026-02-22,2026-02-22T12:34:25Z,Primary recent-activity evidence,R-TOPIC-007,oxcaml;commits;activity
R4-S017,Incremental repo metadata,GitHub API,api_snapshot,https://api.github.com/repos/janestreet/incremental,2026-02-22,2026-02-22T12:34:25Z,Primary repository metadata source,R-TOPIC-007,incremental;repo;metadata
R4-S018,Incremental README,janestreet/incremental,source_file,https://github.com/janestreet/incremental/blob/master/README.org,2026-02-22,2026-02-22T12:34:25Z,Primary high-level library intent,R-TOPIC-007,incremental;overview
