"function_name","function_url","category","version_marker","tier","tier_label","reason_codes","context_note","platform_note"
"ADDRESS","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"AREAS","https://support.microsoft.com/en-us/office/areas-function-8392ba32-7a41-43b3-96b0-3695d2ec6152","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"COLUMN","https://support.microsoft.com/en-us/office/column-function-44e8c754-711c-4df3-9da4-47a55042554b","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"COLUMNS","https://support.microsoft.com/en-us/office/columns-function-4e8e7b4e-e603-43e8-b177-956088fa48ca","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"DOLLAR","https://support.microsoft.com/en-us/office/dollar-function-a6cd05d9-9740-4ad3-a469-8109d18ff611","Text functions","","3","medium_interest","format_visible_behavior","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"FIXED","https://support.microsoft.com/en-us/office/fixed-function-ffd5723c-324c-45e9-8b96-e41be2a8274a","Text functions","","3","medium_interest","format_visible_behavior","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"FORMULATEXT","https://support.microsoft.com/en-us/office/formulatext-function-0a786771-54fd-4ae2-96ee-09cda35439c8","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"INDEX","https://support.microsoft.com/en-us/office/index-function-a5dcf0dd-996d-40a4-a822-b56b061328bd","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"N","https://support.microsoft.com/en-us/office/n-function-a624cad1-3635-4208-b54a-29733d1278c9","Information functions","","3","medium_interest","type_or_coercion_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"NOW","https://support.microsoft.com/en-us/office/now-function-3337fd29-145a-4347-b2e6-20c904739c46","Date and time functions","","3","medium_interest","volatile_or_recalc_sensitive|format_visible_behavior","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"RAND","https://support.microsoft.com/en-us/office/rand-function-4cbfa695-8869-4788-8d90-021ea9f5be73","Math and trigonometry functions","","3","medium_interest","volatile_or_recalc_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"RANDBETWEEN","https://support.microsoft.com/en-us/office/randbetween-function-4cc7f0d1-87dc-4eb7-987f-a469ab381685","Math and trigonometry functions","","3","medium_interest","volatile_or_recalc_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"ROW","https://support.microsoft.com/en-us/office/row-function-3a63b74a-c4d0-4093-b49a-e76eb49a6d8d","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"ROWS","https://support.microsoft.com/en-us/office/rows-function-b592593e-3fc2-47f2-bec1-bda493811597","Lookup and reference functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"SHEET","https://support.microsoft.com/en-us/office/sheet-function-44718b6f-8b87-47a1-a9d6-b701c06cff24","Information functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"SHEETS","https://support.microsoft.com/en-us/office/sheets-function-770515eb-e1e8-45ce-8066-b557e5e4b80b","Information functions","","3","medium_interest","grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"SUMIF","https://support.microsoft.com/en-us/office/sumif-function-169b8c99-c05c-4483-a712-1697a653039b","Math and trigonometry functions","","3","medium_interest","volatile_or_recalc_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"T","https://support.microsoft.com/en-us/office/t-function-fb83aeec-45e7-4924-af95-53e073541228","Text functions","","3","medium_interest","type_or_coercion_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TEXT","https://support.microsoft.com/en-us/office/text-function-20d5ac4d-7b94-49fd-bb38-93d29371225c","Text functions","","3","medium_interest","format_visible_behavior","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TODAY","https://support.microsoft.com/en-us/office/today-function-5eb3078d-a82c-4736-8930-2f51a028fdd9","Date and time functions","","3","medium_interest","volatile_or_recalc_sensitive|format_visible_behavior","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TYPE","https://support.microsoft.com/en-us/office/type-function-45b4e688-4bc3-48b3-a105-ffa892995899","Information functions","","3","medium_interest","type_or_coercion_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"VALUE","https://support.microsoft.com/en-us/office/value-function-257d0108-07dc-437d-ae1c-bc2d3953d8c2","Text functions","","3","medium_interest","type_or_coercion_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"VALUETOTEXT","https://support.microsoft.com/en-us/office/valuetotext-function-5fff61a2-301a-4ab2-9ffa-0a5242a08fea","Text functions","","3","medium_interest","type_or_coercion_sensitive|format_visible_behavior","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"BYCOL","https://support.microsoft.com/en-us/office/bycol-function-58463999-7de5-49ce-8f38-b7f7a2192bfb","Logical functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"BYROW","https://support.microsoft.com/en-us/office/byrow-function-2e04c677-78c8-4e6b-8c10-a4602f2602bb","Logical functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"CHOOSECOLS","https://support.microsoft.com/en-us/office/choosecols-function-bf117976-2722-4466-9b9a-1c01ed9aebff","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"CHOOSEROWS","https://support.microsoft.com/en-us/office/chooserows-function-51ace882-9bab-4a44-9625-7274ef7507a3","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"CUBEKPIMEMBER","https://support.microsoft.com/en-us/office/cubekpimember-function-744608bf-2c62-42cd-b67a-a56109f4b03b","Cubes","","4","high_interest","cube_context","Used with OLAP/Data Model cube connections and Pivot-based analytics; often includes MDX expressions in arguments. MDX semantics are out-of-scope for this project.","Cube functions depend on cube/data-model connectivity; platform support varies by connector stack and product SKU."
"CUBEMEMBER","https://support.microsoft.com/en-us/office/cubemember-function-0f6a15b9-2c18-4819-ae89-e1b5c8b398ad","Cubes","","4","high_interest","cube_context","Used with OLAP/Data Model cube connections and Pivot-based analytics; often includes MDX expressions in arguments. MDX semantics are out-of-scope for this project.","Cube functions depend on cube/data-model connectivity; platform support varies by connector stack and product SKU."
"CUBEMEMBERPROPERTY","https://support.microsoft.com/en-us/office/cubememberproperty-function-001e57d6-b35a-49e5-abcd-05ff599e8951","Cubes","","4","high_interest","cube_context","Used with OLAP/Data Model cube connections and Pivot-based analytics; often includes MDX expressions in arguments. MDX semantics are out-of-scope for this project.","Cube functions depend on cube/data-model connectivity; platform support varies by connector stack and product SKU."
"CUBERANKEDMEMBER","https://support.microsoft.com/en-us/office/cuberankedmember-function-07efecde-e669-4075-b4bf-6b40df2dc4b3","Cubes","","4","high_interest","cube_context","Used with OLAP/Data Model cube connections and Pivot-based analytics; often includes MDX expressions in arguments. MDX semantics are out-of-scope for this project.","Cube functions depend on cube/data-model connectivity; platform support varies by connector stack and product SKU."
"CUBESET","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Cubes","","4","high_interest","cube_context","Used with OLAP/Data Model cube connections and Pivot-based analytics; often includes MDX expressions in arguments. MDX semantics are out-of-scope for this project.","Cube functions depend on cube/data-model connectivity; platform support varies by connector stack and product SKU."
"CUBESETCOUNT","https://support.microsoft.com/en-us/office/cubesetcount-function-c4c2a438-c1ff-4061-80fe-982f2d705286","Cubes","","4","high_interest","cube_context","Used with OLAP/Data Model cube connections and Pivot-based analytics; often includes MDX expressions in arguments. MDX semantics are out-of-scope for this project.","Cube functions depend on cube/data-model connectivity; platform support varies by connector stack and product SKU."
"CUBEVALUE","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Cubes","","4","high_interest","cube_context","Used with OLAP/Data Model cube connections and Pivot-based analytics; often includes MDX expressions in arguments. MDX semantics are out-of-scope for this project.","Cube functions depend on cube/data-model connectivity; platform support varies by connector stack and product SKU."
"DROP","https://support.microsoft.com/en-us/office/drop-function-1cb4e151-9e17-4838-abe5-9ba48d8c6a34","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"ENCODEURL","https://support.microsoft.com/en-us/office/encodeurl-function-07c7fb90-7c60-4bff-8687-fac50fe33d0e","Web functions","","4","high_interest","external_data_or_services","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"EXPAND","https://support.microsoft.com/en-us/office/expand-function-7433fba5-4ad1-41da-a904-d5d95808bc38","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"FILTER","https://support.microsoft.com/en-us/office/filter-function-f4f7cb66-82eb-4767-8f7c-4877ad80c759","Our 10 featured functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"FILTERXML","https://support.microsoft.com/en-us/office/filterxml-function-4df72efc-11ec-4951-86f5-c1374812f5b7","Web functions","","4","high_interest","external_data_or_services","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"GROUPBY","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"HSTACK","https://support.microsoft.com/en-us/office/hstack-function-98c4ab76-10fe-4b4f-8d5f-af1c125fe8c2","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"ISOMITTED","https://support.microsoft.com/en-us/office/isomitted-function-831d6fbc-0f07-40c4-9c5b-9c73fd1d60c1","Information functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"LAMBDA","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","Logical functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"LET","https://support.microsoft.com/en-us/office/let-function-34842dd8-b92b-4d3f-b325-b8b8f9908999","Our 10 featured functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"MAKEARRAY","https://support.microsoft.com/en-us/office/makearray-function-b80da5ad-b338-4149-a523-5b221da09097","Logical functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"MAP","https://support.microsoft.com/en-us/office/map-function-48006093-f97c-47c1-bfcc-749263bb1f01","Logical functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"PIVOTBY","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"RANDARRAY","https://support.microsoft.com/en-us/office/randarray-function-21261e55-3bec-4885-86a6-8b0a47fd4d33","Math and trigonometry functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"REDUCE","https://support.microsoft.com/en-us/office/reduce-function-42e39910-b345-45f3-84b8-0642b568b7cb","Logical functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"SCAN","https://support.microsoft.com/en-us/office/scan-function-d58dfd11-9969-4439-b2dc-e7062724de29","Logical functions","","4","high_interest","functional_lambda_family","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"SEQUENCE","https://support.microsoft.com/en-us/office/sequence-function-57467a98-57e0-4817-9f14-2eb78519ca90","Math and trigonometry functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
