"function_name","tier","tier_label","reason_codes","evidence_source_ids","evidence_probe_ids","evidence_status","review_status","notes"
"ADDRESS","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"AREAS","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"COLUMN","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"COLUMNS","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"DOLLAR","3","medium_interest","format_visible_behavior","","","pending","unreviewed",""
"FIXED","3","medium_interest","format_visible_behavior","","","pending","unreviewed",""
"FORMULATEXT","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"INDEX","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"N","3","medium_interest","type_or_coercion_sensitive","","","pending","unreviewed",""
"NOW","3","medium_interest","volatile_or_recalc_sensitive|format_visible_behavior","","","pending","unreviewed",""
"RAND","3","medium_interest","volatile_or_recalc_sensitive","","","pending","unreviewed",""
"RANDBETWEEN","3","medium_interest","volatile_or_recalc_sensitive","","","pending","unreviewed",""
"ROW","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"ROWS","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"SHEET","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"SHEETS","3","medium_interest","grid_reference_sensitive","","","pending","unreviewed",""
"SUMIF","3","medium_interest","volatile_or_recalc_sensitive","","","pending","unreviewed",""
"T","3","medium_interest","type_or_coercion_sensitive","","","pending","unreviewed",""
"TEXT","3","medium_interest","format_visible_behavior","","","pending","unreviewed",""
"TODAY","3","medium_interest","volatile_or_recalc_sensitive|format_visible_behavior","","","pending","unreviewed",""
"TYPE","3","medium_interest","type_or_coercion_sensitive","","","pending","unreviewed",""
"VALUE","3","medium_interest","type_or_coercion_sensitive","","","pending","unreviewed",""
"VALUETOTEXT","3","medium_interest","type_or_coercion_sensitive|format_visible_behavior","","","pending","unreviewed",""
"BYCOL","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-064","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"BYROW","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-043","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"CHOOSECOLS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-065","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"CHOOSEROWS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-066","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"CUBEKPIMEMBER","4","high_interest","cube_context","ECS-001|ECS-002|ECS-067","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-020|ECS-EB-037|ECS-EB-046"
"CUBEMEMBER","4","high_interest","cube_context","ECS-001|ECS-002|ECS-068","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-020|ECS-EB-037|ECS-EB-046"
"CUBEMEMBERPROPERTY","4","high_interest","cube_context","ECS-001|ECS-002|ECS-069","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-020|ECS-EB-037|ECS-EB-046"
"CUBERANKEDMEMBER","4","high_interest","cube_context","ECS-001|ECS-002|ECS-070","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-020|ECS-EB-037|ECS-EB-046"
"CUBESET","4","high_interest","cube_context","ECS-001|ECS-002|ECS-053","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-020|ECS-EB-037|ECS-EB-046"
"CUBESETCOUNT","4","high_interest","cube_context","ECS-001|ECS-002|ECS-071","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-020|ECS-EB-037|ECS-EB-046"
"CUBEVALUE","4","high_interest","cube_context","ECS-001|ECS-002|ECS-054","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-020|ECS-EB-037|ECS-EB-046"
"DROP","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-072","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"ENCODEURL","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-073","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046"
"EXPAND","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-074","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"FILTER","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-075","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"FILTERXML","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-076","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046"
"GROUPBY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-055","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
