"function_name","source_title","source_url","applies_to_raw","source_capture_utc","evidence_type","probe_status","note"
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"AREAS","AREAS function - Microsoft Support","https://support.microsoft.com/en-us/office/areas-function-8392ba32-7a41-43b3-96b0-3695d2ec6152","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"BYCOL","BYCOL function - Microsoft Support","https://support.microsoft.com/en-us/office/bycol-function-58463999-7de5-49ce-8f38-b7f7a2192bfb","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"BYROW","BYROW function - Microsoft Support","https://support.microsoft.com/en-us/office/byrow-function-2e04c677-78c8-4e6b-8c10-a4602f2602bb","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"CELL","CELL function - Microsoft Support","https://support.microsoft.com/en-us/office/cell-function-51bd39a5-f338-4dbe-a33f-955d67c2b2cf","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"CHOOSECOLS","CHOOSECOLS function - Microsoft Support","https://support.microsoft.com/en-us/office/choosecols-function-bf117976-2722-4466-9b9a-1c01ed9aebff","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"CHOOSEROWS","CHOOSEROWS function - Microsoft Support","https://support.microsoft.com/en-us/office/chooserows-function-51ace882-9bab-4a44-9625-7274ef7507a3","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"COLUMN","COLUMN function - Microsoft Support","https://support.microsoft.com/en-us/office/column-function-44e8c754-711c-4df3-9da4-47a55042554b","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"COLUMNS","COLUMNS function - Microsoft Support","https://support.microsoft.com/en-us/office/columns-function-4e8e7b4e-e603-43e8-b177-956088fa48ca","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"CUBEKPIMEMBER","CUBEKPIMEMBER function - Microsoft Support","https://support.microsoft.com/en-us/office/cubekpimember-function-744608bf-2c62-42cd-b67a-a56109f4b03b","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"CUBEMEMBER","CUBEMEMBER function - Microsoft Support","https://support.microsoft.com/en-us/office/cubemember-function-0f6a15b9-2c18-4819-ae89-e1b5c8b398ad","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
"CUBEMEMBERPROPERTY","CUBEMEMBERPROPERTY function - Microsoft Support","https://support.microsoft.com/en-us/office/cubememberproperty-function-001e57d6-b35a-49e5-abcd-05ff599e8951","__PENDING_CAPTURE__","2026-02-28T18:23:51Z","source_only","pending","No applies-to extraction yet for this function; queued for ECS-EB-037 crawl."
