"function_name","source_title","source_url","applies_to_raw","source_capture_utc","evidence_type","probe_status","note"
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel for Microsoft 365","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel for Microsoft 365 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel for the web","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel 2024","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel 2024 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel 2021","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel 2021 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel 2019","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Excel 2016","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Microsoft Office","2026-02-28T11:45:00Z","source_only","pending",""
"RTD","RTD function - Microsoft Support","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Microsoft365.com","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel for Microsoft 365","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel for Microsoft 365 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel for the web","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel 2024","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel 2024 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel 2021","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel 2021 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel 2019","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel 2016","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel for iPad","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel Web App","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel for iPhone","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel for Android tablets","2026-02-28T11:45:00Z","source_only","pending",""
"CUBESET","CUBESET function - Microsoft Support","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","Excel for Android phones","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for Microsoft 365","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for Microsoft 365 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for the web","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel 2024","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel 2024 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel 2021","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel 2021 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel 2019","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel 2016","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for iPad","2026-02-28T11:45:00Z","source_only","pending",""
