"function_name","reason_codes","evidence_source_ids","new_source_added","probe_tasks"
"ADDRESS","grid_reference_sensitive","ECS-001|ECS-002|ECS-094","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"AREAS","grid_reference_sensitive","ECS-001|ECS-002|ECS-095","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"COLUMN","grid_reference_sensitive","ECS-001|ECS-002|ECS-096","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"COLUMNS","grid_reference_sensitive","ECS-001|ECS-002|ECS-097","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"DOLLAR","format_visible_behavior","ECS-001|ECS-002|ECS-098","yes","ECS-EB-016|ECS-EB-040|ECS-EB-042"
"FIXED","format_visible_behavior","ECS-001|ECS-002|ECS-099","yes","ECS-EB-016|ECS-EB-040|ECS-EB-042"
"FORMULATEXT","grid_reference_sensitive","ECS-001|ECS-002|ECS-100","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"INDEX","grid_reference_sensitive","ECS-001|ECS-002|ECS-101","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"N","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-018","no","ECS-EB-024|ECS-EB-025|ECS-EB-027|ECS-EB-040"
"NOW","volatile_or_recalc_sensitive|format_visible_behavior","ECS-001|ECS-002|ECS-039","no","ECS-EB-011|ECS-EB-012|ECS-EB-016|ECS-EB-040|ECS-EB-042|ECS-EB-043"
"RAND","volatile_or_recalc_sensitive","ECS-001|ECS-002|ECS-102","yes","ECS-EB-011|ECS-EB-012|ECS-EB-040|ECS-EB-043"
"RANDBETWEEN","volatile_or_recalc_sensitive","ECS-001|ECS-002|ECS-103","yes","ECS-EB-011|ECS-EB-012|ECS-EB-040|ECS-EB-043"
"ROW","grid_reference_sensitive","ECS-001|ECS-002|ECS-104","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"ROWS","grid_reference_sensitive","ECS-001|ECS-002|ECS-105","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"SHEET","grid_reference_sensitive","ECS-001|ECS-002|ECS-106","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"SHEETS","grid_reference_sensitive","ECS-001|ECS-002|ECS-107","yes","ECS-EB-014|ECS-EB-028|ECS-EB-030|ECS-EB-040"
"SUMIF","volatile_or_recalc_sensitive","ECS-001|ECS-002|ECS-108","yes","ECS-EB-011|ECS-EB-012|ECS-EB-040|ECS-EB-043"
"T","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-109","yes","ECS-EB-024|ECS-EB-025|ECS-EB-027|ECS-EB-040"
"TEXT","format_visible_behavior","ECS-001|ECS-002|ECS-110","yes","ECS-EB-016|ECS-EB-040|ECS-EB-042"
"TODAY","volatile_or_recalc_sensitive|format_visible_behavior","ECS-001|ECS-002|ECS-059","no","ECS-EB-011|ECS-EB-012|ECS-EB-016|ECS-EB-040|ECS-EB-042|ECS-EB-043"
"TYPE","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-111","yes","ECS-EB-024|ECS-EB-025|ECS-EB-027|ECS-EB-040"
"VALUE","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-019","no","ECS-EB-024|ECS-EB-025|ECS-EB-027|ECS-EB-040"
"VALUETOTEXT","type_or_coercion_sensitive|format_visible_behavior","ECS-001|ECS-002|ECS-020","no","ECS-EB-016|ECS-EB-024|ECS-EB-025|ECS-EB-027|ECS-EB-040|ECS-EB-042"
