"function_name","tier","tier_label","reason_codes","evidence_source_ids","evidence_source_titles","evidence_source_urls","evidence_probe_tasks","source_binding_status","notes"
"CELL","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-062","CELL function","https://support.microsoft.com/en-us/office/cell-function-51bd39a5-f338-4dbe-a33f-955d67c2b2cf","ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"INDIRECT","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-057","INDIRECT function","https://support.microsoft.com/en-us/office/indirect-function-474b3a3a-8a26-4f44-b491-92b6306fa261","ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"INFO","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-063","INFO function","https://support.microsoft.com/en-us/office/info-function-725f259a-0e4b-49b3-8b52-58815c69acae","ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"OFFSET","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-058","OFFSET function","https://support.microsoft.com/en-us/office/offset-function-c8de19ae-dd79-4b9b-a14e-b4d906d11b66","ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"RTD","5","critical_interest","external_data_or_services","ECS-001|ECS-002|ECS-040","RTD function","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"BYCOL","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-064","BYCOL function","https://support.microsoft.com/en-us/office/bycol-function-58463999-7de5-49ce-8f38-b7f7a2192bfb","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"BYROW","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-043","BYROW function","https://support.microsoft.com/en-us/office/byrow-function-2e04c677-78c8-4e6b-8c10-a4602f2602bb","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CHOOSECOLS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-065","CHOOSECOLS function","https://support.microsoft.com/en-us/office/choosecols-function-bf117976-2722-4466-9b9a-1c01ed9aebff","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CHOOSEROWS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-066","CHOOSEROWS function","https://support.microsoft.com/en-us/office/chooserows-function-51ace882-9bab-4a44-9625-7274ef7507a3","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CUBEKPIMEMBER","4","high_interest","cube_context","ECS-001|ECS-002|ECS-067","CUBEKPIMEMBER function","https://support.microsoft.com/en-us/office/cubekpimember-function-744608bf-2c62-42cd-b67a-a56109f4b03b","ECS-EB-020|ECS-EB-037|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CUBEMEMBER","4","high_interest","cube_context","ECS-001|ECS-002|ECS-068","CUBEMEMBER function","https://support.microsoft.com/en-us/office/cubemember-function-0f6a15b9-2c18-4819-ae89-e1b5c8b398ad","ECS-EB-020|ECS-EB-037|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
