"case_id","scenario_id","task_id","family","target","formula","expected_kind","expected_value","expected_error","confidence_input","run_exit_status","edit_operation_status","edit_operation_message","observed_kind","observed_error","initial_value","final_value","final_display_text","final_formula","step_count","result_status","match_basis","evidence_bundle_ref","source_anchor","notes"
"CW1-009","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B1","=N(""abc"")","value","0","","high","success","","","value","","0","0","0","=N(""abc"")","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","support_n_function","N text coercion"
"CW1-010","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B2","=N(TRUE)","value","1","","high","success","","","value","","1","1","1","=N(TRUE)","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","support_n_function","N logical coercion"
"CW1-011","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B4","=TYPE(1)","value","1","","high","success","","","value","","1","1","1","=TYPE(1)","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","support_type_function","TYPE number"
"CW1-012","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B5","=TYPE(""x"")","value","2","","high","success","","","value","","2","2","2","=TYPE(""x"")","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","support_type_function","TYPE text"
"CW1-013","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B6","=TYPE(TRUE)","value","4","","high","success","","","value","","4","4","4","=TYPE(TRUE)","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","support_type_function","TYPE logical"
"CW1-014","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B7","=TYPE(NA())","value","16","","high","success","","","value","","16","16","16","=TYPE(NA())","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","support_type_function","TYPE error"
"CW1-015","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B8","=VALUE(""123.45"")","value","123.45","","high","success","","","value","","123.45","123.45","123.45","=VALUE(""123.45"")","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","support_value_function","VALUE numeric text"
"CW1-016","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B9","=VALUE(""abc"")","error","","#VALUE!","high","success","","","error","#VALUE!","-2146826273","-2146826273","#VALUE!","=VALUE(""abc"")","3","matches_expected","error_match","evidence\SCN-EB025-FUNCTION-CORE","support_value_function","VALUE invalid text"
"CW1-017","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B10","=T(123)","value","","","medium","success","","","value","","","","","=T(123)","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","coercion_matrix_expanded","T numeric coercion"
"CW1-018","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B11","=T(""abc"")","value","abc","","medium","success","","","value","","abc","abc","abc","=T(""abc"")","3","matches_expected","value_match","evidence\SCN-EB025-FUNCTION-CORE","coercion_matrix_expanded","T text pass-through"
"CW1-019","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B12","=VALUETOTEXT(123.45)","probe","","","medium","success","","","value","","123.45","123.45","123.45","=VALUETOTEXT(123.45)","3","probe","probe_expected","evidence\SCN-EB025-FUNCTION-CORE","coercion_matrix_expanded","VALUETOTEXT rendering probe"
"CW1-020","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B13","=VALUETOTEXT(NA())","probe","","","medium","success","","","value","","#N/A","#N/A","#N/A","=VALUETOTEXT(NA())","3","probe","probe_expected","evidence\SCN-EB025-FUNCTION-CORE","coercion_matrix_expanded","VALUETOTEXT error rendering probe"
"CW1-021","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B1","=SUM(""1"",2)","value","3","","medium","success","","","value","","3","3","3","=SUM(""1"",2)","3","matches_expected","value_match","evidence\SCN-EB025-AGG-COERCION","coercion_matrix_expanded","SUM direct-arg text numeric coercion"
"CW1-022","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B2","=SUM(A1:A3)","value","2","","medium","success","","","value","","3","3","3","=SUM(A1:A3)","3","mismatch","value_mismatch","evidence\SCN-EB025-AGG-COERCION","coercion_matrix_expanded","SUM range text handling"
