"case_id","scenario_id","task_id","family","target","formula","expected_kind","expected_value","expected_error","confidence","source_anchor","notes"
"CW1-001","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B1","=""2""+3","value","5","","medium","coercion_matrix_expanded","numeric text plus number"
"CW1-002","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B2","=""x""+1","error","","#VALUE!","medium","coercion_matrix_expanded","non-numeric text plus number"
"CW1-003","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B3","=TRUE*5","value","5","","medium","coercion_matrix_expanded","boolean multiply coercion"
"CW1-004","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B4","=TRUE+1","value","2","","medium","coercion_matrix_expanded","boolean add coercion"
"CW1-005","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B5","=FALSE+1","value","1","","medium","coercion_matrix_expanded","boolean add coercion false"
"CW1-006","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B6","=1&""a""","value","1a","","high","coercion_matrix_expanded","concat coercion"
"CW1-007","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B7","=1=""1""","probe","","","low","coercion_matrix_expanded","comparison coercion probe"
"CW1-008","SCN-EB024-OP-CORE","ECS-EB-024","operator","Sheet1!B10","=B8-B9","value","1","","high","coercion_matrix_expanded","date serial delta under arithmetic"
"CW1-009","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B1","=N(""abc"")","value","0","","high","support_n_function","N text coercion"
"CW1-010","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B2","=N(TRUE)","value","1","","high","support_n_function","N logical coercion"
"CW1-011","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B4","=TYPE(1)","value","1","","high","support_type_function","TYPE number"
"CW1-012","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B5","=TYPE(""x"")","value","2","","high","support_type_function","TYPE text"
"CW1-013","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B6","=TYPE(TRUE)","value","4","","high","support_type_function","TYPE logical"
"CW1-014","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B7","=TYPE(NA())","value","16","","high","support_type_function","TYPE error"
"CW1-015","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B8","=VALUE(""123.45"")","value","123.45","","high","support_value_function","VALUE numeric text"
"CW1-016","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B9","=VALUE(""abc"")","error","","#VALUE!","high","support_value_function","VALUE invalid text"
"CW1-017","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B10","=T(123)","value","","","medium","coercion_matrix_expanded","T numeric coercion"
"CW1-018","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B11","=T(""abc"")","value","abc","","medium","coercion_matrix_expanded","T text pass-through"
"CW1-019","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B12","=VALUETOTEXT(123.45)","probe","","","medium","coercion_matrix_expanded","VALUETOTEXT rendering probe"
"CW1-020","SCN-EB025-FUNCTION-CORE","ECS-EB-025","function","Sheet1!B13","=VALUETOTEXT(NA())","probe","","","medium","coercion_matrix_expanded","VALUETOTEXT error rendering probe"
"CW1-021","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B1","=SUM(""1"",2)","value","3","","medium","coercion_matrix_expanded","SUM direct-arg text numeric coercion"
"CW1-022","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B2","=SUM(A1:A3)","value","2","","medium","coercion_matrix_expanded","SUM range text handling"
"CW1-023","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B3","=AVERAGE(""2"",4)","value","3","","medium","coercion_matrix_expanded","AVERAGE direct-arg coercion"
"CW1-024","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B4","=AVERAGE(A1:A3)","value","2","","medium","coercion_matrix_expanded","AVERAGE range text handling"
"CW1-025","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B5","=COUNT(A1:A3)","value","1","","high","coercion_matrix_expanded","COUNT range handling"
"CW1-026","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B6","=COUNTA(A1:A3)","value","3","","high","coercion_matrix_expanded","COUNTA range handling"
"CW1-027","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B7","=SUMPRODUCT(--(A1:A2))","value","3","","medium","coercion_matrix_expanded","SUMPRODUCT unary coercion"
"CW1-028","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B8","=IF(""0"",1,2)","probe","","","low","coercion_matrix_expanded","IF logical coercion probe non-empty text"
"CW1-029","SCN-EB025-AGG-COERCION","ECS-EB-025","function","Sheet1!B9","=IF("""",1,2)","probe","","","low","coercion_matrix_expanded","IF logical coercion probe empty text"
"CW1-030","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B1","=1+2*3","value","7","","high","support_operator_precedence","precedence baseline"
"CW1-031","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B2","=(1+2)*3","value","9","","high","support_operator_precedence","parentheses override precedence"
"CW1-032","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B3","=--""1""+2","value","3","","medium","coercion_matrix_expanded","nested unary coercion precedence"
"CW1-033","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B4","=1&2+3","value","15","","medium","support_operator_precedence","concat after addition precedence"
"CW1-034","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B5","=1+2&3","value","33","","medium","support_operator_precedence","addition before concat precedence"
"CW1-035","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B6","=2^3*2","value","16","","high","support_operator_precedence","power precedence"
"CW1-036","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B7","=-2^2","probe","","","low","coercion_matrix_expanded","unary minus with exponent precedence probe"
"CW1-037","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B8","=(-2)^2","value","4","","high","support_operator_precedence","parenthesized negative exponent"
"CW1-038","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","compat_precedence","Sheet1!B9","=SUM(A1,,B1)","probe","","","low","coercion_matrix_expanded","compatibility syntax ambiguity probe current build only"
