"run_id","task_id","scenario_id","artifact_ref","calc_mode_manifest","set_calc_mode_op_count","has_set_calc_mode_op","first_set_calc_mode_started_utc","last_set_calc_mode_finished_utc","run_exit_status"
"run-20260228-181842-f29f0791a","ECS-EB-010","SCN-EB010-INDEX-REOPEN","outputs\pilot_wave1\evidence\SCN-EB010-INDEX-REOPEN\run_manifest.json","automatic","1","true","2026-02-28T18:18:44.3327641Z","2026-02-28T18:18:44.6539366Z","success"
"run-20260228-181833-b0c5345fe","ECS-EB-010","SCN-EB010-NOW-UNRELATED-EDIT","outputs\pilot_wave1\evidence\SCN-EB010-NOW-UNRELATED-EDIT\run_manifest.json","automatic","1","true","2026-02-28T18:18:36.5599233Z","2026-02-28T18:18:36.8446524Z","success"
"run-20260228-181840-2fee8d383","ECS-EB-010","SCN-EB010-RAND-FULLRECALC","outputs\pilot_wave1\evidence\SCN-EB010-RAND-FULLRECALC\run_manifest.json","automatic","1","true","2026-02-28T18:18:41.9978585Z","2026-02-28T18:18:42.3790489Z","success"
"run-20260228-181837-9504d2b9b","ECS-EB-010","SCN-EB010-SUM-UNRELATED-EDIT","outputs\pilot_wave1\evidence\SCN-EB010-SUM-UNRELATED-EDIT\run_manifest.json","automatic","1","true","2026-02-28T18:18:39.7536912Z","2026-02-28T18:18:39.9870071Z","success"
"run-20260228-181852-d6614d307","ECS-EB-011","SCN-EB011-INDIRECT-EDIT","outputs\pilot_wave1\evidence\SCN-EB011-INDIRECT-EDIT\run_manifest.json","automatic","1","true","2026-02-28T18:18:55.0757434Z","2026-02-28T18:18:55.4757867Z","success"
"run-20260228-181844-c4488d94b","ECS-EB-011","SCN-EB011-NOW-RECALC","outputs\pilot_wave1\evidence\SCN-EB011-NOW-RECALC\run_manifest.json","automatic","1","true","2026-02-28T18:18:47.1503864Z","2026-02-28T18:18:47.6206929Z","success"
"run-20260228-181850-6ded52629","ECS-EB-011","SCN-EB011-OFFSET-EDIT","outputs\pilot_wave1\evidence\SCN-EB011-OFFSET-EDIT\run_manifest.json","automatic","1","true","2026-02-28T18:18:52.1068070Z","2026-02-28T18:18:52.4255092Z","success"
"run-20260228-181847-37aef368d","ECS-EB-011","SCN-EB011-SUM-RECALC","outputs\pilot_wave1\evidence\SCN-EB011-SUM-RECALC\run_manifest.json","automatic","1","true","2026-02-28T18:18:49.8565811Z","2026-02-28T18:18:50.1850509Z","success"
"run-20260228-182809-15d207a88","ECS-EB-012","SCN-EB012-CELL-ADDRESS-EDIT","outputs\volatility_wave2\evidence\SCN-EB012-CELL-ADDRESS-EDIT\run_manifest.json","automatic","1","true","2026-02-28T18:28:13.0121175Z","2026-02-28T18:28:13.2382642Z","success"
"run-20260228-182813-0fa1ef398","ECS-EB-012","SCN-EB012-CELL-FILENAME-REOPEN","outputs\volatility_wave2\evidence\SCN-EB012-CELL-FILENAME-REOPEN\run_manifest.json","automatic","1","true","2026-02-28T18:28:16.0954941Z","2026-02-28T18:28:16.5203495Z","success"
"run-20260228-182917-32440953c","ECS-EB-012","SCN-EB012-INFO-DIRECTORY-EDIT","outputs\volatility_wave2\evidence\SCN-EB012-INFO-DIRECTORY-EDIT\run_manifest.json","automatic","1","true","2026-02-28T18:29:19.2342950Z","2026-02-28T18:29:19.6097622Z","success"
"run-20260228-182919-ec7432413","ECS-EB-012","SCN-EB012-INFO-RECALC-MODE-TOGGLE","outputs\volatility_wave2\evidence\SCN-EB012-INFO-RECALC-MODE-TOGGLE\run_manifest.json","automatic","3","true","2026-02-28T18:29:21.7249210Z","2026-02-28T18:29:22.1270834Z","success"
"run-20260228-182922-7139603dd","ECS-EB-012","SCN-EB012-RAND-RECALC-CONTROL","outputs\volatility_wave2\evidence\SCN-EB012-RAND-RECALC-CONTROL\run_manifest.json","automatic","1","true","2026-02-28T18:29:24.3018747Z","2026-02-28T18:29:24.5554836Z","success"
"run-20260228-182924-0484b54bd","ECS-EB-012","SCN-EB012-SUM-RECALC-CONTROL","outputs\volatility_wave2\evidence\SCN-EB012-SUM-RECALC-CONTROL\run_manifest.json","automatic","1","true","2026-02-28T18:29:26.6650730Z","2026-02-28T18:29:27.0043942Z","success"
"run-20260228-181858-b3dee50ef","ECS-EB-014","SCN-EB014-INDIRECT-DELETE-ROW","outputs\pilot_wave1\evidence\SCN-EB014-INDIRECT-DELETE-ROW\run_manifest.json","automatic","1","true","2026-02-28T18:19:00.3439084Z","2026-02-28T18:19:00.6648105Z","success"
"run-20260228-181855-feac5d8bc","ECS-EB-014","SCN-EB014-INDIRECT-INSERT-ROW","outputs\pilot_wave1\evidence\SCN-EB014-INDIRECT-INSERT-ROW\run_manifest.json","automatic","1","true","2026-02-28T18:18:57.9419771Z","2026-02-28T18:18:58.2744650Z","success"
"run-20260228-181905-a68714a68","ECS-EB-014","SCN-EB014-OFFSET-DELETE-COL","outputs\pilot_wave1\evidence\SCN-EB014-OFFSET-DELETE-COL\run_manifest.json","automatic","1","true","2026-02-28T18:19:07.4429223Z","2026-02-28T18:19:07.8148383Z","success"
"run-20260228-181903-3addc84d3","ECS-EB-014","SCN-EB014-OFFSET-INSERT-COL","outputs\pilot_wave1\evidence\SCN-EB014-OFFSET-INSERT-COL\run_manifest.json","automatic","1","true","2026-02-28T18:19:05.0039521Z","2026-02-28T18:19:05.3281535Z","success"
"run-20260228-190530-94f8502ac","ECS-EB-015","SCN-EB015-RTD-MISSING-PROGID","outputs\rtd_wave1\evidence\SCN-EB015-RTD-MISSING-PROGID\run_manifest.json","automatic","1","true","2026-02-28T19:05:32.3693568Z","2026-02-28T19:05:32.7703820Z","success"
"run-20260228-190522-9b120d294","ECS-EB-015","SCN-EB015-RTD-PULSE-CLOSE-OPEN","outputs\rtd_wave1\evidence\SCN-EB015-RTD-PULSE-CLOSE-OPEN\run_manifest.json","automatic","1","true","2026-02-28T19:05:24.5201119Z","2026-02-28T19:05:24.9990744Z","success"
"run-20260228-190502-f668e412e","ECS-EB-015","SCN-EB015-RTD-TICKS-BASELINE","outputs\rtd_wave1\evidence\SCN-EB015-RTD-TICKS-BASELINE\run_manifest.json","automatic","1","true","2026-02-28T19:05:06.3457070Z","2026-02-28T19:05:06.6927967Z","success"
"run-20260228-190514-1dd3bc9d8","ECS-EB-015","SCN-EB015-RTD-TICKS-CLOSE-OPEN","outputs\rtd_wave1\evidence\SCN-EB015-RTD-TICKS-CLOSE-OPEN\run_manifest.json","automatic","1","true","2026-02-28T19:05:16.9992789Z","2026-02-28T19:05:17.3582931Z","success"
"run-20260228-190509-304cd2bc4","ECS-EB-015","SCN-EB015-RTD-TICKS-MANUAL","outputs\rtd_wave1\evidence\SCN-EB015-RTD-TICKS-MANUAL\run_manifest.json","automatic","2","true","2026-02-28T19:05:12.0334886Z","2026-02-28T19:05:14.7167035Z","success"
"run-20260228-191746-4fdd3d87b","ECS-EB-016","SCN-EB016-CROSSWB-COPY-NOW-FORMULA","outputs\date_system_wave1\evidence\SCN-EB016-CROSSWB-COPY-NOW-FORMULA\run_manifest.json","automatic","1","true","2026-02-28T19:17:48.3122709Z","2026-02-28T19:17:48.4528706Z","success"
"run-20260228-191750-7c363c215","ECS-EB-016","SCN-EB016-CROSSWB-COPY-SERIAL-VALUE","outputs\date_system_wave1\evidence\SCN-EB016-CROSSWB-COPY-SERIAL-VALUE\run_manifest.json","automatic","1","true","2026-02-28T19:17:52.1727342Z","2026-02-28T19:17:52.3480420Z","success"
"run-20260228-191748-e509fa813","ECS-EB-016","SCN-EB016-CROSSWB-COPY-TODAY-FORMULA","outputs\date_system_wave1\evidence\SCN-EB016-CROSSWB-COPY-TODAY-FORMULA\run_manifest.json","automatic","1","true","2026-02-28T19:17:50.1833798Z","2026-02-28T19:17:50.4407357Z","success"
"run-20260228-191741-7934a4a77","ECS-EB-016","SCN-EB016-NOW-TOGGLE-1900-1904","outputs\date_system_wave1\evidence\SCN-EB016-NOW-TOGGLE-1900-1904\run_manifest.json","automatic","1","true","2026-02-28T19:17:43.6833868Z","2026-02-28T19:17:43.8263575Z","success"
"run-20260228-191745-17bf68db1","ECS-EB-016","SCN-EB016-TODAY-TOGGLE-1900-1904","outputs\date_system_wave1\evidence\SCN-EB016-TODAY-TOGGLE-1900-1904\run_manifest.json","automatic","1","true","2026-02-28T19:17:46.5784904Z","2026-02-28T19:17:46.7209239Z","success"
"run-20260228-221342-a5850c13c","ECS-EB-018","SCN-EB018-DYNARRAY-MIXED","outputs\tier45_wave1\evidence\SCN-EB018-DYNARRAY-MIXED\run_manifest.json","automatic","1","true","2026-02-28T22:13:44.3339427Z","2026-02-28T22:13:44.5681754Z","success"
"run-20260228-221345-74610b1e8","ECS-EB-019","SCN-EB019-LAMBDA-HELPER-EDGE","outputs\tier45_wave1\evidence\SCN-EB019-LAMBDA-HELPER-EDGE\run_manifest.json","automatic","1","true","2026-02-28T22:13:46.5710653Z","2026-02-28T22:13:46.8157936Z","success"
