"case_id","scenario_id","task_id","corpus_id","probe_kind","formula","target","expected","requires_table","seed_spill","notes"
"FPCW1-001","SCN-EB028-REF-RANGE-ACCEPT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","=SUM(A1:B2)","Sheet1!D1","accepted","False","False","Baseline range operator acceptance."
"FPCW1-002","SCN-EB028-REF-UNION-ACCEPT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","=SUM((A1:A2,B1:B2))","Sheet1!D1","accepted","False","False","Union reference acceptance in SUM context."
"FPCW1-003","SCN-EB028-REF-INTERSECTION-ACCEPT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","=SUM(A1:C1 A1:A3)","Sheet1!D1","accepted","False","False","Space intersection operator acceptance."
"FPCW1-004","SCN-EB028-REF-DOUBLECOLON-REJECT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","=SUM(A1::B2)","Sheet1!D1","rejected","False","False","Malformed range token should reject."
"FPCW1-005","SCN-EB028-AT-OP-ACCEPT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","=@A1:A3","Sheet1!D1","accepted","False","False","Implicit intersection operator acceptance."
"FPCW1-006","SCN-EB028-HASH-OP-ACCEPT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","=A1#","Sheet1!D1","accepted","False","True","Spill reference operator acceptance."
"FPCW1-007","SCN-EB028-AT-HASH-ACCEPT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","=@A1#","Sheet1!D1","accepted","False","True","Combined @ and # operator acceptance."
"FPCW1-008","SCN-EB028-HASH-PREFIX-REJECT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","=#A1","Sheet1!D1","rejected","False","False","Malformed prefix # token should reject."
"FPCW1-009","SCN-EB028-LET-ACCEPT","ECS-EB-028","FPC-028-LAMBDA-LET","parse_acceptance","=LET(x,1,x+2)","Sheet1!D1","accepted","False","False","LET baseline acceptance."
"FPCW1-010","SCN-EB028-LAMBDA-INVOKE-ACCEPT","ECS-EB-028","FPC-028-LAMBDA-LET","parse_acceptance","=LAMBDA(x,x+1)(2)","Sheet1!D1","accepted","False","False","Inline LAMBDA invocation acceptance."
"FPCW1-011","SCN-EB028-LAMBDA-MISSINGPAREN-REJECT","ECS-EB-028","FPC-028-LAMBDA-LET","parse_acceptance","=LAMBDA(x,x+1)(1,2","Sheet1!D1","rejected","False","False","Malformed lambda invocation should reject."
"FPCW1-012","SCN-EB028-FIELDVALUE-ACCEPT","ECS-EB-028","FPC-028-DATA-TYPE-FIELD","parse_acceptance","=FIELDVALUE(A1,""Price"")","Sheet1!D1","accepted","False","False","FIELDVALUE parse acceptance regardless of runtime type availability."
"FPCW1-013","SCN-EB030-DOTFIELD-PROBE","ECS-EB-030","FPC-028-DATA-TYPE-FIELD","ambiguity","=A1.Price","Sheet1!D1","probe","False","False","Dot field syntax acceptance probe under non-linked-type cell."
"FPCW1-014","SCN-EB028-TABLE-COL-ACCEPT","ECS-EB-028","FPC-028-TABLE-REF","parse_acceptance","=SUM(TblParse[Amount])","Sheet1!D1","accepted","True","False","Structured table column reference acceptance."
"FPCW1-015","SCN-EB028-TABLE-THISROW-ACCEPT","ECS-EB-028","FPC-028-TABLE-REF","parse_acceptance","=[@Amount]*2","Sheet1!B2","accepted","True","False","This-row structured reference acceptance inside table body."
"FPCW1-016","SCN-EB028-TABLE-BRACKET-REJECT","ECS-EB-028","FPC-028-TABLE-REF","parse_acceptance","=SUM(TblParse[[#All],[Amount])","Sheet1!D1","rejected","True","False","Malformed structured-ref brackets should reject."
"FPCW1-017","SCN-EB029-NORM-CASE-WHITESPACE","ECS-EB-029","FPC-029-NORMALIZATION","normalization","=sUm(a1:b2)","Sheet1!D1","accepted","False","False","Normalization capture for case-preserving input and canonical stored formula."
"FPCW1-018","SCN-EB029-NORM-TABLE-LOWERCASE","ECS-EB-029","FPC-029-NORMALIZATION","normalization","=sum(tblparse[amount])","Sheet1!D1","accepted","True","False","Normalization capture for lowercase table identifiers."
"FPCW1-019","SCN-EB030-AMBIG-INTERSECTION-SINGLE","ECS-EB-030","FPC-028-REF-OPS","ambiguity","=A1 B1","Sheet1!D1","accepted","False","False","Single-cell intersection parse/behavior discriminator."
"FPCW1-020","SCN-EB030-AMBIG-DOUBLE-COMMA","ECS-EB-030","FPC-028-REF-OPS","ambiguity","=SUM(A1,,B1)","Sheet1!D1","rejected","False","False","Malformed comma placement should reject."
