"template_id","category","function_count","representative_functions","scenario_classes","priority"
"TPL-001","Compatibility","41","BETADIST|BETAINV|BINOMDIST|CHIDIST|CHIINV","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-002","Cubes","7","CUBEKPIMEMBER|CUBEMEMBER|CUBEMEMBERPROPERTY|CUBERANKEDMEMBER|CUBESET","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-003","Database functions","12","DAVERAGE|DCOUNT|DCOUNTA|DGET|DMAX","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-004","Date and time functions","25","DATE|DATEDIF|DATEVALUE|DAY|DAYS","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P1"
"TPL-005","Engineering functions","54","BESSELI|BESSELJ|BESSELK|BESSELY|BIN2DEC","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-006","Financial functions","55","ACCRINT|ACCRINTM|AMORDEGRC|AMORLINC|COUPDAYBS","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P1"
"TPL-007","Information functions","12","CELL|ERROR.TYPE|INFO|ISEVEN|ISFORMULA","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P1"
"TPL-008","Logical functions","17","AND|BYCOL|BYROW|FALSE|IFERROR","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-009","Lookup and reference functions","37","ADDRESS|AREAS|CHOOSE|CHOOSECOLS|CHOOSEROWS","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P1"
"TPL-010","Math and trigonometry functions","80","ABS|ACOS|ACOSH|ACOT|ACOTH","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-011","Our 10 featured functions","11","COPILOT|COUNT|COUNTIFS|FILTER|IF","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-012","Statistical functions","103","AVEDEV|AVERAGE|AVERAGEA|AVERAGEIF|AVERAGEIFS","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-013","Text functions","40","ARRAYTOTEXT|ASC|BAHTTEXT|CHAR|CLEAN","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-014","User defined functions that are installed with add-ins","3","CALL|EUROCONVERT|REGISTER.ID","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
"TPL-015","Web functions","3","ENCODEURL|FILTERXML|WEBSERVICE","arg_type_matrix|error_propagation|array_lifting|recalc_stability|version_platform","P2"
