"manifest_id","function_name","tier","category","reason_codes","scenario_classes","status","notes"
"FMW1-001","ADDRESS","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-002","AREAS","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-003","COLUMN","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-004","COLUMNS","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-005","DOLLAR","3","Text functions","format_visible_behavior","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-006","FIXED","3","Text functions","format_visible_behavior","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-007","FORMULATEXT","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-008","INDEX","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-009","N","3","Information functions","type_or_coercion_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-010","NOW","3","Date and time functions","volatile_or_recalc_sensitive|format_visible_behavior","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-011","RAND","3","Math and trigonometry functions","volatile_or_recalc_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-012","RANDBETWEEN","3","Math and trigonometry functions","volatile_or_recalc_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-013","ROW","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-014","ROWS","3","Lookup and reference functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-015","SHEET","3","Information functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
