"index_id","function_name","tier","source_url","source_category","empirical_artifact_refs","empirical_ref_count","unresolved_count"
"FEI-001","ADDRESS","3","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Lookup and reference functions","","0","0"
"FEI-002","AREAS","3","https://support.microsoft.com/en-us/office/areas-function-8392ba32-7a41-43b3-96b0-3695d2ec6152","Lookup and reference functions","","0","0"
"FEI-003","COLUMN","3","https://support.microsoft.com/en-us/office/column-function-44e8c754-711c-4df3-9da4-47a55042554b","Lookup and reference functions","","0","0"
"FEI-004","COLUMNS","3","https://support.microsoft.com/en-us/office/columns-function-4e8e7b4e-e603-43e8-b177-956088fa48ca","Lookup and reference functions","","0","0"
"FEI-005","DOLLAR","3","https://support.microsoft.com/en-us/office/dollar-function-a6cd05d9-9740-4ad3-a469-8109d18ff611","Text functions","","0","0"
"FEI-006","FIXED","3","https://support.microsoft.com/en-us/office/fixed-function-ffd5723c-324c-45e9-8b96-e41be2a8274a","Text functions","","0","0"
"FEI-007","FORMULATEXT","3","https://support.microsoft.com/en-us/office/formulatext-function-0a786771-54fd-4ae2-96ee-09cda35439c8","Lookup and reference functions","","0","0"
"FEI-008","INDEX","3","https://support.microsoft.com/en-us/office/index-function-a5dcf0dd-996d-40a4-a822-b56b061328bd","Lookup and reference functions","","0","0"
"FEI-009","N","3","https://support.microsoft.com/en-us/office/n-function-a624cad1-3635-4208-b54a-29733d1278c9","Information functions","","0","0"
"FEI-010","NOW","3","https://support.microsoft.com/en-us/office/now-function-3337fd29-145a-4347-b2e6-20c904739c46","Date and time functions","","0","0"
"FEI-011","RAND","3","https://support.microsoft.com/en-us/office/rand-function-4cbfa695-8869-4788-8d90-021ea9f5be73","Math and trigonometry functions","","0","0"
"FEI-012","RANDBETWEEN","3","https://support.microsoft.com/en-us/office/randbetween-function-4cc7f0d1-87dc-4eb7-987f-a469ab381685","Math and trigonometry functions","","0","0"
"FEI-013","ROW","3","https://support.microsoft.com/en-us/office/row-function-3a63b74a-c4d0-4093-b49a-e76eb49a6d8d","Lookup and reference functions","","0","0"
"FEI-014","ROWS","3","https://support.microsoft.com/en-us/office/rows-function-b592593e-3fc2-47f2-bec1-bda493811597","Lookup and reference functions","","0","0"
"FEI-015","SHEET","3","https://support.microsoft.com/en-us/office/sheet-function-44718b6f-8b87-47a1-a9d6-b701c06cff24","Information functions","","0","0"
"FEI-016","SHEETS","3","https://support.microsoft.com/en-us/office/sheets-function-770515eb-e1e8-45ce-8066-b557e5e4b80b","Information functions","","0","0"
"FEI-017","SUMIF","3","https://support.microsoft.com/en-us/office/sumif-function-169b8c99-c05c-4483-a712-1697a653039b","Math and trigonometry functions","","0","0"
