"function_name","target","stored_formula","display_text","value","parse_status","operation_error"
"ABS","Sheet1!B1","=ABS(1)","1","1","recognized_or_runtime_error",
"ACCRINT","Sheet1!B2","","",,"operation_rejected","0x800A03EC"
"ACCRINTM","Sheet1!B3","","",,"operation_rejected","0x800A03EC"
"ACOS","Sheet1!B4","=ACOS(1)","0","0","recognized_or_runtime_error",
"ACOSH","Sheet1!B5","=ACOSH(1)","0","0","recognized_or_runtime_error",
"ACOT","Sheet1!B6","=ACOT(1)","0.785398","0.7853981633974483","recognized_or_runtime_error",
"ACOTH","Sheet1!B7","=ACOTH(1)","#NUM!","-2146826252","recognized_or_runtime_error",
"ADDRESS","Sheet1!B8","","",,"operation_rejected","0x800A03EC"
"AGGREGATE","Sheet1!B9","","",,"operation_rejected","0x800A03EC"
"AMORDEGRC","Sheet1!B10","","",,"operation_rejected","0x800A03EC"
"AMORLINC","Sheet1!B11","","",,"operation_rejected","0x800A03EC"
"AND","Sheet1!B12","=AND(1)","TRUE","True","recognized_or_runtime_error",
"ARABIC","Sheet1!B13","=ARABIC(1)","#VALUE!","-2146826273","recognized_or_runtime_error",
"AREAS","Sheet1!B14","","",,"operation_rejected","0x800A03EC"
"ARRAYTOTEXT","Sheet1!B15","=ARRAYTOTEXT(1)","1","1","recognized_or_runtime_error",
"ASC","Sheet1!B16","=ASC(1)","1","1","recognized_or_runtime_error",
"ASIN","Sheet1!B17","=ASIN(1)","1.570796","1.5707963267948966","recognized_or_runtime_error",
"ASINH","Sheet1!B18","=ASINH(1)","0.881374","0.8813735870195429","recognized_or_runtime_error",
"ATAN","Sheet1!B19","=ATAN(1)","0.785398","0.7853981633974483","recognized_or_runtime_error",
"ATAN2","Sheet1!B20","","",,"operation_rejected","0x800A03EC"
"ATANH","Sheet1!B21","=ATANH(1)","#NUM!","-2146826252","recognized_or_runtime_error",
"AVEDEV","Sheet1!B22","=AVEDEV(1)","0","0","recognized_or_runtime_error",
"AVERAGE","Sheet1!B23","=AVERAGE(1)","1","1","recognized_or_runtime_error",
"AVERAGEA","Sheet1!B24","=AVERAGEA(1)","1","1","recognized_or_runtime_error",
"AVERAGEIF","Sheet1!B25","","",,"operation_rejected","0x800A03EC"
"AVERAGEIFS","Sheet1!B26","","",,"operation_rejected","0x800A03EC"
"BAHTTEXT","Sheet1!B27","=BAHTTEXT(1)","????????????","????????????","recognized_or_runtime_error",
