"function_name","target"
"ABS","Sheet1!B1"
"ACCRINT","Sheet1!B2"
"ACCRINTM","Sheet1!B3"
"ACOS","Sheet1!B4"
"ACOSH","Sheet1!B5"
"ACOT","Sheet1!B6"
"ACOTH","Sheet1!B7"
"ADDRESS","Sheet1!B8"
"AGGREGATE","Sheet1!B9"
"AMORDEGRC","Sheet1!B10"
"AMORLINC","Sheet1!B11"
"AND","Sheet1!B12"
"ARABIC","Sheet1!B13"
"AREAS","Sheet1!B14"
"ARRAYTOTEXT","Sheet1!B15"
"ASC","Sheet1!B16"
"ASIN","Sheet1!B17"
"ASINH","Sheet1!B18"
"ATAN","Sheet1!B19"
"ATAN2","Sheet1!B20"
"ATANH","Sheet1!B21"
"AVEDEV","Sheet1!B22"
"AVERAGE","Sheet1!B23"
"AVERAGEA","Sheet1!B24"
"AVERAGEIF","Sheet1!B25"
"AVERAGEIFS","Sheet1!B26"
"BAHTTEXT","Sheet1!B27"
"BASE","Sheet1!B28"
"BESSELI","Sheet1!B29"
"BESSELJ","Sheet1!B30"
"BESSELK","Sheet1!B31"
"BESSELY","Sheet1!B32"
"BETA.DIST","Sheet1!B33"
"BETA.INV","Sheet1!B34"
"BETADIST","Sheet1!B35"
"BETAINV","Sheet1!B36"
"BIN2DEC","Sheet1!B37"
"BIN2HEX","Sheet1!B38"
"BIN2OCT","Sheet1!B39"
"BINOM.DIST","Sheet1!B40"
"BINOM.DIST.RANGE","Sheet1!C1"
"BINOM.INV","Sheet1!C2"
"BINOMDIST","Sheet1!C3"
"BITAND","Sheet1!C4"
"BITLSHIFT","Sheet1!C5"
"BITOR","Sheet1!C6"
"BITRSHIFT","Sheet1!C7"
"BITXOR","Sheet1!C8"
"BYCOL","Sheet1!C9"
"BYROW","Sheet1!C10"
"CALL","Sheet1!C11"
"CEILING","Sheet1!C12"
"CEILING.MATH","Sheet1!C13"
"CEILING.PRECISE","Sheet1!C14"
"CELL","Sheet1!C15"
"CHAR","Sheet1!C16"
"CHIDIST","Sheet1!C17"
"CHIINV","Sheet1!C18"
"CHISQ.DIST","Sheet1!C19"
"CHISQ.DIST.RT","Sheet1!C20"
"CHISQ.INV","Sheet1!C21"
"CHISQ.INV.RT","Sheet1!C22"
"CHISQ.TEST","Sheet1!C23"
"CHITEST","Sheet1!C24"
"CHOOSE","Sheet1!C25"
"CHOOSECOLS","Sheet1!C26"
"CHOOSEROWS","Sheet1!C27"
"CLEAN","Sheet1!C28"
"CODE","Sheet1!C29"
"COLUMN","Sheet1!C30"
"COLUMNS","Sheet1!C31"
"COMBIN","Sheet1!C32"
"COMBINA","Sheet1!C33"
"COMPLEX","Sheet1!C34"
"CONCAT","Sheet1!C35"
"CONCATENATE","Sheet1!C36"
"CONFIDENCE","Sheet1!C37"
"CONFIDENCE.NORM","Sheet1!C38"
"CONFIDENCE.T","Sheet1!C39"
"CONVERT","Sheet1!C40"
"COPILOT","Sheet1!D1"
"CORREL","Sheet1!D2"
"COS","Sheet1!D3"
"COSH","Sheet1!D4"
"COT","Sheet1!D5"
"COTH","Sheet1!D6"
"COUNT","Sheet1!D7"
"COUNTA","Sheet1!D8"
"COUNTBLANK","Sheet1!D9"
"COUNTIF","Sheet1!D10"
"COUNTIFS","Sheet1!D11"
"COUPDAYBS","Sheet1!D12"
"COUPDAYS","Sheet1!D13"
"COUPDAYSNC","Sheet1!D14"
"COUPNCD","Sheet1!D15"
"COUPNUM","Sheet1!D16"
"COUPPCD","Sheet1!D17"
"COVAR","Sheet1!D18"
"COVARIANCE.P","Sheet1!D19"
"COVARIANCE.S","Sheet1!D20"
"CRITBINOM","Sheet1!D21"
"CSC","Sheet1!D22"
"CSCH","Sheet1!D23"
"CUBEKPIMEMBER","Sheet1!D24"
"CUBEMEMBER","Sheet1!D25"
"CUBEMEMBERPROPERTY","Sheet1!D26"
"CUBERANKEDMEMBER","Sheet1!D27"
"CUBESET","Sheet1!D28"
"CUBESETCOUNT","Sheet1!D29"
"CUBEVALUE","Sheet1!D30"
"CUMIPMT","Sheet1!D31"
"CUMPRINC","Sheet1!D32"
"DATE","Sheet1!D33"
"DATEDIF","Sheet1!D34"
"DATEVALUE","Sheet1!D35"
"DAVERAGE","Sheet1!D36"
"DAY","Sheet1!D37"
"DAYS","Sheet1!D38"
"DAYS360","Sheet1!D39"
"DB","Sheet1!D40"
"DBCS","Sheet1!E1"
"DCOUNT","Sheet1!E2"
"DCOUNTA","Sheet1!E3"
"DDB","Sheet1!E4"
"DEC2BIN","Sheet1!E5"
"DEC2HEX","Sheet1!E6"
"DEC2OCT","Sheet1!E7"
"DECIMAL","Sheet1!E8"
"DEGREES","Sheet1!E9"
"DELTA","Sheet1!E10"
"DETECTLANGUAGE","Sheet1!E11"
"DEVSQ","Sheet1!E12"
"DGET","Sheet1!E13"
"DISC","Sheet1!E14"
"DMAX","Sheet1!E15"
"DMIN","Sheet1!E16"
"DOLLAR","Sheet1!E17"
"DOLLARDE","Sheet1!E18"
"DOLLARFR","Sheet1!E19"
"DPRODUCT","Sheet1!E20"
"DROP","Sheet1!E21"
"DSTDEV","Sheet1!E22"
"DSTDEVP","Sheet1!E23"
"DSUM","Sheet1!E24"
"DURATION","Sheet1!E25"
"DVAR","Sheet1!E26"
"DVARP","Sheet1!E27"
"EDATE","Sheet1!E28"
"EFFECT","Sheet1!E29"
"ENCODEURL","Sheet1!E30"
"EOMONTH","Sheet1!E31"
"ERF","Sheet1!E32"
"ERF.PRECISE","Sheet1!E33"
"ERFC","Sheet1!E34"
"ERFC.PRECISE","Sheet1!E35"
