"case_id","scenario_id","task_id","artifact_name","notes"
"KKW1-001","SCN-EK001-PRECEDENCE","ECS-EK-001","precedence_probe_results.json","Operator precedence baseline."
"KKW1-002","SCN-EK003-A1-COPY","ECS-EK-003","a1_rewrite_observations.json","A1 rewrite/copy baseline."
"KKW1-003","SCN-EK005-NAME-RESOLUTION","ECS-EK-005","name_resolution_probe.json","Workbook name resolution baseline."
"KKW1-004","SCN-EK009-SPILL-BLOCK","ECS-EK-009","spill_block_baseline_probe.json","Spill block baseline."
"KKW1-005","SCN-EK011-FUNCTION-RECOGNITION","ECS-EK-011","function_recognition_matrix.csv","500-function recognition sweep."
"KKW1-006","SCN-EK012-TIER1-MATHSTAT","ECS-EK-012","tier1_math_stat_smoke.json","Tier-1 math/stat baseline."
"KKW1-007","SCN-EK013-TIER1-TEXTLOGIC","ECS-EK-013","tier1_text_logical_smoke.json","Tier-1 text/logical baseline."
"KKW1-008","SCN-EK014-LOOKUP-BASELINE","ECS-EK-014","lookup_baseline_probe.json","Lookup/reference baseline."
"KKW1-009","SCN-EK015-AGGREGATE-BASELINE","ECS-EK-015","aggregate_baseline_probe.json","Aggregate baseline."
"KKW1-010","SCN-EK016-ERROR-HANDLING","ECS-EK-016","error_handling_baseline_probe.json","Error-handling baseline."
"KKW1-011","SCN-EK018-DYNAMIC-SHAPE","ECS-EK-018","dynamic_shape_probe.json","Dynamic shape baseline."
"KKW1-012","SCN-EK024-TYPE-CODES","ECS-EK-024","type_code_baseline_probe.json","TYPE code baseline."
"KKW1-013","SCN-EK025-N-CONVERSION","ECS-EK-025","n_conversion_baseline_probe.json","N conversion baseline."
"KKW1-014","SCN-EK026-VALUE-CONVERSION","ECS-EK-026","value_conversion_baseline_probe.json","VALUE conversion baseline."
"KKW1-015","SCN-EK027-VALUETOTEXT","ECS-EK-027","valuetotext_baseline_probe.json","VALUETOTEXT baseline."
"KKW1-016","SCN-EK028-IS-FAMILY","ECS-EK-028","is_family_baseline_probe.json","IS* baseline."
"KKW1-017","SCN-EK037-NUMFMT-CAT","ECS-EK-037","number_format_category_probe.json","Number format category baseline."
"KKW1-018","SCN-EK038-CUSTOM-NUMFMT","ECS-EK-038","custom_format_section_probe.json","Custom number format baseline."
"KKW1-019","SCN-EK039-DATETIME-FMT","ECS-EK-039","datetime_format_baseline_probe.json","Datetime format baseline."
