"scenario_id","task_id","status","assertion_kind","expected","initial_value","final_value","stepwise_value_changed_any","initial_formula","final_formula","stepwise_formula_changed_any","observed_display","auto_assessment","calc_mode","locale","excel_build","run_id","evidence_bundle_ref","notes"
"SCN-EB010-NOW-UNRELATED-EDIT","ECS-EB-010","completed","manual_review","Does NOW() update after unrelated edit and recalc?","46081.8462555556","46081.8462600694","true","=NOW()","=NOW()","false","########","pass","automatic","en-ZA","16.0.19725.20126","run-20260228-181833-b0c5345fe","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB010-NOW-UNRELATED-EDIT","Stepwise value-change signal used."
"SCN-EB010-SUM-UNRELATED-EDIT","ECS-EB-010","completed","value_equals","60","60","60","false","=SUM(B1:B3)","=SUM(B1:B3)","false","########","pass","automatic","en-ZA","16.0.19725.20126","run-20260228-181837-9504d2b9b","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB010-SUM-UNRELATED-EDIT","Value_equals assertion auto-evaluated from final observation."
"SCN-EB010-RAND-FULLRECALC","ECS-EB-010","completed","manual_review","Did RAND() change after full recalc?","0.223622641555151","0.111128303845434","true","=RAND()","=RAND()","false","########","pass","automatic","en-ZA","16.0.19725.20126","run-20260228-181840-2fee8d383","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB010-RAND-FULLRECALC","Stepwise value-change signal used."
"SCN-EB010-INDEX-REOPEN","ECS-EB-010","completed","value_equals","7","7","7","true","=INDEX(B1:B3,2)","=INDEX(B1:B3,2)","true","########","pass","automatic","en-ZA","16.0.19725.20126","run-20260228-181842-f29f0791a","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB010-INDEX-REOPEN","Value_equals assertion auto-evaluated from final observation."
"SCN-EB011-NOW-RECALC","ECS-EB-011","completed","manual_review","Does NOW() value change between recalc events?","46081.8463788194","46081.8463844907","true","=NOW()","=NOW()","false","########","pass","automatic","en-ZA","16.0.19725.20126","run-20260228-181844-c4488d94b","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB011-NOW-RECALC","Stepwise value-change signal used."
"SCN-EB011-SUM-RECALC","ECS-EB-011","completed","value_equals","6","6","6","false","=SUM(B1:B3)","=SUM(B1:B3)","false","########","pass","automatic","en-ZA","16.0.19725.20126","run-20260228-181847-37aef368d","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB011-SUM-RECALC","Value_equals assertion auto-evaluated from final observation."
"SCN-EB011-OFFSET-EDIT","ECS-EB-011","completed","manual_review","Does OFFSET-based formula recalc behavior indicate volatile treatment?","60","60","false","=SUM(OFFSET(B1,0,0,3,1))","=SUM(OFFSET(B1,0,0,3,1))","false","########","inconclusive","automatic","en-ZA","16.0.19725.20126","run-20260228-181850-6ded52629","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB011-OFFSET-EDIT","Volatility cannot be inferred from value-change alone for OFFSET."
"SCN-EB011-INDIRECT-EDIT","ECS-EB-011","completed","manual_review","Does INDIRECT show volatile-style recalc behavior under unrelated edits?","42","42","false","=INDIRECT(""B1"")","=INDIRECT(""B1"")","false","########","inconclusive","automatic","en-ZA","16.0.19725.20126","run-20260228-181852-d6614d307","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB011-INDIRECT-EDIT","Volatility cannot be inferred from value-change alone for INDIRECT."
"SCN-EB014-INDIRECT-INSERT-ROW","ECS-EB-014","completed","manual_review","After row insertion, does INDIRECT target tracking remain deterministic?","100","0","true","=INDIRECT(""B2"")","=INDIRECT(""B2"")","false","0","manual_review_required","automatic","en-ZA","16.0.19725.20126","run-20260228-181855-feac5d8bc","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB014-INDIRECT-INSERT-ROW","Manual interpretation required."
"SCN-EB014-INDIRECT-DELETE-ROW","ECS-EB-014","completed","manual_review","After deleting target row, does result become deterministic value or explicit error?","200","100","true","=INDIRECT(""B2"")","=INDIRECT(""B2"")","false","100","manual_review_required","automatic","en-ZA","16.0.19725.20126","run-20260228-181858-b3dee50ef","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB014-INDIRECT-DELETE-ROW","Manual interpretation required."
"SCN-EB014-OFFSET-INSERT-COL","ECS-EB-014","completed","manual_review","After column insertion, does OFFSET-based reference path remain deterministic?","300","300","false","=SUM(OFFSET(B1,0,0,1,1))","=SUM(OFFSET(C1,0,0,1,1))","true","300","manual_review_required","automatic","en-ZA","16.0.19725.20126","run-20260228-181903-3addc84d3","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB014-OFFSET-INSERT-COL","Manual interpretation required."
"SCN-EB014-OFFSET-DELETE-COL","ECS-EB-014","completed","manual_review","After deleting anchor/target column, is resulting behavior deterministic and explicit?","400","-2146826265","true","=SUM(OFFSET(B1,0,0,1,1))","=SUM(OFFSET(#REF!,0,0,1,1))","true","#REF!","manual_review_required","automatic","en-ZA","16.0.19725.20126","run-20260228-181905-a68714a68","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB014-OFFSET-DELETE-COL","Manual interpretation required."
"SCN-EB023-VALUE-LOCALE-COMMA","ECS-EB-023","completed","manual_review","Under locale target nl-NL/de-DE, does VALUE(""1,5"") parse as numeric 1.5?","-2146826273","-2146826273","false","=VALUE(A1)","=VALUE(A1)","false","#VALUE!","inconclusive","automatic","en-ZA","16.0.19725.20126","run-20260228-181908-84dc286a4","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB023-VALUE-LOCALE-COMMA","Executed under en-ZA; target locale not applied."
"SCN-EB023-DATEVALUE-LOCALE-TEXT","ECS-EB-023","completed","manual_review","Does DATEVALUE parse ambiguous date text according to locale date order?","-2146826273","-2146826273","false","=DATEVALUE(A1)","=DATEVALUE(A1)","false","#VALUE!","inconclusive","automatic","en-ZA","16.0.19725.20126","run-20260228-181912-ef7402ec5","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB023-DATEVALUE-LOCALE-TEXT","Executed under en-ZA; target locale not applied."
