"function_name","source_title","source_url","applies_to_raw","source_capture_utc","evidence_type","probe_status","note"
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel 2016","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel 2019","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel 2021","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel 2021 for Mac","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel 2024","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel 2024 for Mac","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel for Microsoft 365","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel for Microsoft 365 for Mac","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Excel for the web","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
"ADDRESS","ADDRESS function - Microsoft Support","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","Microsoft Office","2026-02-28T22:19:32Z","source_only","pending","Applies-to extracted by ECS-EB-037 crawler."
