"probe_id","scenario_id","task_id","function_name","probe_variant","target","reason_codes_expected","expected_signal","observed_signal","step_count","operation_sequence","initial_value","final_value","unique_observed_value_count","changed_any","result_status","reason_code_assessment","evidence_bundle_ref","notes"
"RCW1-001","SCN-EB040-NOW-RECALC","ECS-EB-040","NOW","recalc_change","Sheet1!A1","volatile_or_recalc_sensitive|format_visible_behavior","change_after_recalc_with_elapsed_time","value_changed","5","setup -> set_calc_mode -> recalc -> sleep -> recalc","46081.96578854167","46081.96580601852","4","true","supports_reason_code","volatile_support_observed","evidence\SCN-EB040-NOW-RECALC","NOW changed across recalc steps with elapsed wall-clock delay."
"RCW1-002","SCN-EB040-TODAY-DATE-SYSTEM","ECS-EB-040","TODAY","date_system_transition","Sheet1!A1","volatile_or_recalc_sensitive|format_visible_behavior","serial_transition_when_date_system_changes","value_changed","6","setup -> set_calc_mode -> set_date_system -> recalc -> set_date_system -> recalc","46081","46081","2","true","supports_reason_code_with_caveat","date_system_sensitive_support","evidence\SCN-EB040-TODAY-DATE-SYSTEM","TODAY serial changed when toggling date system; volatile claim remains indirectly supported."
"RCW1-003","SCN-EB040-RAND-RECALC","ECS-EB-040","RAND","recalc_change","Sheet1!A1","volatile_or_recalc_sensitive","change_after_recalc","value_changed","4","setup -> set_calc_mode -> recalc -> recalc","0.7362008647519414","0.5020214326254429","4","true","supports_reason_code","volatile_support_observed","evidence\SCN-EB040-RAND-RECALC","RAND changed across recalc steps."
"RCW1-004","SCN-EB040-RANDBETWEEN-RECALC","ECS-EB-040","RANDBETWEEN","recalc_change","Sheet1!A1","volatile_or_recalc_sensitive","change_after_recalc","value_changed","4","setup -> set_calc_mode -> recalc -> recalc","35","6","4","true","supports_reason_code","volatile_support_observed","evidence\SCN-EB040-RANDBETWEEN-RECALC","RANDBETWEEN changed across recalc steps."
"RCW1-005","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","ROW","grid_stability","Sheet1!C1","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","1","1","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-006","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","COLUMN","grid_stability","Sheet1!C2","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","2","2","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-007","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","ROWS","grid_stability","Sheet1!C3","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","2","2","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-008","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","COLUMNS","grid_stability","Sheet1!C4","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","2","2","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-009","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","ADDRESS","grid_stability","Sheet1!C5","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","$C$2","$C$2","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-010","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","AREAS","grid_stability","Sheet1!C6","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","2","2","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-011","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","INDEX","dependency_edit_change","Sheet1!C7","grid_reference_sensitive","change_when_referenced_input_changes","value_changed","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","10","99","2","true","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","INDEX changed after referenced source cell edit."
"RCW1-012","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","FORMULATEXT","grid_stability","Sheet1!C8","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","=INDEX(A1:B2,1,1)","=INDEX(A1:B2,1,1)","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-013","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","SHEET","grid_stability","Sheet1!C9","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","1","1","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-014","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","SHEETS","grid_stability","Sheet1!C10","grid_reference_sensitive","stable_or_dependency_consistent","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","1","1","1","false","supports_reason_code","grid_reference_support_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","Observed stable output under the scripted operation sequence."
"RCW1-015","SCN-EB040-GRID-REFERENCE-MATRIX","ECS-EB-040","SUMIF","related_edit_change","Sheet1!C11","volatile_or_recalc_sensitive","change_when_criteria_input_changes","value_changed","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","40","60","2","true","supports_reason_code_with_caveat","dependency_sensitive_change_observed","evidence\SCN-EB040-GRID-REFERENCE-MATRIX","SUMIF changed on related-edit path; this does not by itself prove unrelated-edit volatility."
"RCW1-016","SCN-EB040-SUMIF-UNRELATED-EDIT","ECS-EB-040","SUMIF","unrelated_edit_stability","Sheet1!C1","volatile_or_recalc_sensitive","stable_under_unrelated_edit_plus_recalc","value_stable","5","setup -> set_calc_mode -> recalc -> edit_cell -> recalc","50","50","1","false","counter_signal","counter_signal_for_volatile_tag","evidence\SCN-EB040-SUMIF-UNRELATED-EDIT","SUMIF stayed stable under unrelated edit + recalc; volatile reason-code needs review."
"RCW1-017","SCN-EB040-FORMAT-VISIBLE-MATRIX","ECS-EB-040","TEXT","format_text_output","Sheet1!A1","format_visible_behavior","stable_formatted_text_output","value_stable","3","setup -> set_calc_mode -> recalc","$1,234.57","$1,234.57","1","false","supports_reason_code","format_visible_support_observed","evidence\SCN-EB040-FORMAT-VISIBLE-MATRIX","TEXT produced stable formatted text output."
"RCW1-018","SCN-EB040-FORMAT-VISIBLE-MATRIX","ECS-EB-040","DOLLAR","format_text_output","Sheet1!A2","format_visible_behavior","stable_currency_text_output","value_stable","3","setup -> set_calc_mode -> recalc","R1 234.57","R1 234.57","1","false","supports_reason_code","format_visible_support_observed","evidence\SCN-EB040-FORMAT-VISIBLE-MATRIX","DOLLAR produced stable currency-formatted text output."
