"sync_id","function_name","tier","reason_codes","evidence_source_ids","new_probe_ids","probe_result_summary","evidence_status_before","evidence_status_after","review_status_before","review_status_after","sync_action","notes"
"RCS1-009","ADDRESS","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-094","RCW1-009","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-010","AREAS","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-095","RCW1-010","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-006","COLUMN","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-096","RCW1-006","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-008","COLUMNS","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-097","RCW1-008","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-017","DOLLAR","3","format_visible_behavior","ECS-001|ECS-002|ECS-098","RCW1-018","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","format_visible_support_observed"
"RCS1-018","FIXED","3","format_visible_behavior","ECS-001|ECS-002|ECS-099","RCW1-019","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","format_visible_support_observed"
"RCS1-012","FORMULATEXT","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-100","RCW1-012","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-011","INDEX","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-101","RCW1-011","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-021","N","3","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-018","RCW1-022","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","type_coercion_support_observed"
"RCS1-001","NOW","3","volatile_or_recalc_sensitive|format_visible_behavior","ECS-001|ECS-002|ECS-039","RCW1-001","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","volatile_support_observed"
