"queue_id","function_name","priority","mismatch_count","probe_count","source_wave","reason","next_probe_recommendation","evidence_refs"
"T3QW1-006","BYROW","P0","1","0","tier45_wave1","mismatch_count=1","Expand edge-case coverage with argument/type variants","evidence\SCN-EB019-LAMBDA-HELPER-EDGE"
"T3QW1-001","FILTER","P0","1","0","tier45_wave1","mismatch_count=1","Expand edge-case coverage with argument/type variants","evidence\SCN-EB018-DYNARRAY-MIXED"
"T3QW1-007","MAP","P0","1","0","tier45_wave1","mismatch_count=1","Expand edge-case coverage with argument/type variants","evidence\SCN-EB019-LAMBDA-HELPER-EDGE"
"T3QW1-014","SUMIF","P0","1","0","reason_code_wave1","tracker_counter_signal_or_review_flag","Resolve counter-signal with focused differential probes","RCW1-015|RCW1-016"
"T3QW1-002","UNIQUE","P0","1","0","tier45_wave1","mismatch_count=1","Expand edge-case coverage with argument/type variants","evidence\SCN-EB018-DYNARRAY-MIXED"
"T3QW1-008","CUBEMEMBER","P1","0","0","tier45_wave1","external_or_connector_sensitive","Add environment-capability and connection-state matrix probes","evidence\SCN-EB020-CUBE-CONTRACT"
"T3QW1-010","CUBESET","P1","0","0","tier45_wave1","external_or_connector_sensitive","Add environment-capability and connection-state matrix probes","evidence\SCN-EB020-CUBE-CONTRACT"
"T3QW1-009","CUBEVALUE","P1","0","0","tier45_wave1","external_or_connector_sensitive","Add environment-capability and connection-state matrix probes","evidence\SCN-EB020-CUBE-CONTRACT"
"T3QW1-013","FILTERXML","P1","0","0","tier45_wave1","external_or_connector_sensitive","Run replay with offline/online toggles and explicit timeout logging","evidence\SCN-EB021-EXTERNAL-REPLAY"
"T3QW1-012","WEBSERVICE","P1","0","1","tier45_wave1","probe_count=1;external_or_connector_sensitive","Run replay with offline/online toggles and explicit timeout logging","evidence\SCN-EB021-EXTERNAL-REPLAY"
"T3QW1-011","ENCODEURL","P2","0","0","tier45_wave1","","Expand edge-case coverage with argument/type variants","evidence\SCN-EB021-EXTERNAL-REPLAY"
"T3QW1-004","LAMBDA","P2","0","0","tier45_wave1","","Expand edge-case coverage with argument/type variants","evidence\SCN-EB019-LAMBDA-HELPER-EDGE"
"T3QW1-005","LET","P2","0","0","tier45_wave1","","Expand edge-case coverage with argument/type variants","evidence\SCN-EB019-LAMBDA-HELPER-EDGE"
"T3QW1-003","SORT","P2","0","0","tier45_wave1","","Expand edge-case coverage with argument/type variants","evidence\SCN-EB018-DYNARRAY-MIXED"
