"scenario_id","task_id","priority","domain","scenario_file","status","notes"
"SCN-EB018-DYNARRAY-MIXED","ECS-EB-018","P0","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/tier45_wave1/scenarios/SCN-EB018-DYNARRAY-MIXED.json","completed","Unresolved queue replay"
"SCN-EB019-LAMBDA-HELPER-EDGE","ECS-EB-019","P0","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/tier45_wave1/scenarios/SCN-EB019-LAMBDA-HELPER-EDGE.json","completed","Unresolved queue replay"
"SCN-EB021-EXTERNAL-REPLAY","ECS-EB-021","P1","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/tier45_wave1/scenarios/SCN-EB021-EXTERNAL-REPLAY.json","completed","Unresolved queue replay"
"SCN-EB024-OP-CORE","ECS-EB-024","P1","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/coercion_wave1/scenarios/SCN-EB024-OP-CORE.json","completed","Unresolved queue replay"
"SCN-EB025-AGG-COERCION","ECS-EB-025","P0","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/coercion_wave1/scenarios/SCN-EB025-AGG-COERCION.json","completed","Unresolved queue replay"
"SCN-EB025-FUNCTION-CORE","ECS-EB-025","P1","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/coercion_wave1/scenarios/SCN-EB025-FUNCTION-CORE.json","completed","Unresolved queue replay"
"SCN-EB026-NESTED-PRECEDENCE","ECS-EB-026","P1","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/coercion_wave1/scenarios/SCN-EB026-NESTED-PRECEDENCE.json","completed","Unresolved queue replay"
"SCN-EB033-CF-TABLE-SPILL","ECS-EB-033","P0","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/cf_wave1/scenarios/SCN-EB033-CF-TABLE-SPILL.json","completed","Unresolved queue replay"
"SCN-EB034-STRUCTREF-SPILL","ECS-EB-034","P0","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/table_wave1/scenarios/SCN-EB034-STRUCTREF-SPILL.json","completed","Unresolved queue replay"
"SCN-EB044-REOPEN-DYNARRAY","ECS-EB-044","P0","unresolved","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/reopen_wave1/scenarios/SCN-EB044-REOPEN-DYNARRAY.json","completed","Unresolved queue replay"
