"queue_group","scenario_id","case_id","function_name","priority","result_status","source_artifact","target","previous_observed","rerun_observed","resolution_status","closure_state","notes"
"SCN-EB018-DYNARRAY-MIXED|T45W1-002","SCN-EB018-DYNARRAY-MIXED","T45W1-002","FILTER","P0","mismatch","outputs\tier45_wave1\ECS-EB-018_dynamic_array_mixed_type_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","FILTER mixed-type baseline third spill cell."
"SCN-EB018-DYNARRAY-MIXED|T45W1-003","SCN-EB018-DYNARRAY-MIXED","T45W1-003","UNIQUE","P0","mismatch","outputs\tier45_wave1\ECS-EB-018_dynamic_array_mixed_type_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","UNIQUE should retain text member in spill."
"SCN-EB019-LAMBDA-HELPER-EDGE|T45W1-012","SCN-EB019-LAMBDA-HELPER-EDGE","T45W1-012","BYROW","P0","mismatch","outputs\tier45_wave1\ECS-EB-019_lambda_helper_edge_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","BYROW spill second row baseline."
"SCN-EB019-LAMBDA-HELPER-EDGE|T45W1-013","SCN-EB019-LAMBDA-HELPER-EDGE","T45W1-013","MAP","P0","mismatch","outputs\tier45_wave1\ECS-EB-019_lambda_helper_edge_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","MAP spill second row baseline."
"SCN-EB025-AGG-COERCION|CW1-022","SCN-EB025-AGG-COERCION","CW1-022","__non_functional__","P0","mismatch","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","SUM range text handling"
"SCN-EB025-AGG-COERCION|CW1-024","SCN-EB025-AGG-COERCION","CW1-024","__non_functional__","P0","mismatch","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","AVERAGE range text handling"
"SCN-EB025-AGG-COERCION|CW1-025","SCN-EB025-AGG-COERCION","CW1-025","__non_functional__","P0","mismatch","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","COUNT range handling"
"SCN-EB033-CF-TABLE-SPILL|CFW1-021","SCN-EB033-CF-TABLE-SPILL","CFW1-021","__non_functional__","P0","mismatch","outputs\cf_wave1\ECS-EB-033_cf_table_spill_interaction_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","Spill target C3 should receive yellow conditional format for C3>=2."
"SCN-EB033-CF-TABLE-SPILL|CFW1-022","SCN-EB033-CF-TABLE-SPILL","CFW1-022","__non_functional__","P0","mismatch","outputs\cf_wave1\ECS-EB-033_cf_table_spill_interaction_probe_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","Spill target C4 should receive yellow conditional format for C4>=2."
"SCN-EB034-STRUCTREF-SPILL|TBW1-002","SCN-EB034-STRUCTREF-SPILL","TBW1-002","__non_functional__","P0","mismatch","outputs\table_wave1\ECS-EB-034_table_spill_interaction_matrix_wave1.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","SEQUENCE spill based on ROWS(TblMain[Val]) should extend with table growth."
"SCN-EB044-REOPEN-DYNARRAY|RPDW1-005","SCN-EB044-REOPEN-DYNARRAY","RPDW1-005","__non_functional__","P0","mismatch","outputs\crosscut_wave1\ECS-EB-044_reopen_determinism_probe.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","SEQUENCE spill tail should be stable across reopen."
"SCN-EB044-REOPEN-DYNARRAY|RPDW1-006","SCN-EB044-REOPEN-DYNARRAY","RPDW1-006","__non_functional__","P0","mismatch","outputs\crosscut_wave1\ECS-EB-044_reopen_determinism_probe.csv","","","","reproduced_counter_signal","closed_with_retained_behavior","SEQUENCE spill tail baseline value."
"SCN-EB021-EXTERNAL-REPLAY|T45W1-032","SCN-EB021-EXTERNAL-REPLAY","T45W1-032","__non_functional__","P1","probe","outputs\crosscut_wave1\ECS-EB-044_reopen_determinism_probe.csv","","","","probe_reconfirmed","closed_probe_retained","WEBSERVICE external dependency probe across replay cycle."
"SCN-EB024-OP-CORE|CW1-007","SCN-EB024-OP-CORE","CW1-007","__non_functional__","P1","probe","outputs\coercion_wave1\ECS-EB-024_operator_coercion_truth_table_wave1.csv","","","","probe_reconfirmed","closed_probe_retained","comparison coercion probe"
"SCN-EB025-AGG-COERCION|CW1-028","SCN-EB025-AGG-COERCION","CW1-028","__non_functional__","P1","probe","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","","","","probe_reconfirmed","closed_probe_retained","IF logical coercion probe non-empty text"
"SCN-EB025-AGG-COERCION|CW1-029","SCN-EB025-AGG-COERCION","CW1-029","__non_functional__","P1","probe","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","","","","probe_reconfirmed","closed_probe_retained","IF logical coercion probe empty text"
"SCN-EB025-FUNCTION-CORE|CW1-019","SCN-EB025-FUNCTION-CORE","CW1-019","__non_functional__","P1","probe","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","","","","probe_reconfirmed","closed_probe_retained","VALUETOTEXT rendering probe"
"SCN-EB025-FUNCTION-CORE|CW1-020","SCN-EB025-FUNCTION-CORE","CW1-020","__non_functional__","P1","probe","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","","","","probe_reconfirmed","closed_probe_retained","VALUETOTEXT error rendering probe"
"SCN-EB026-NESTED-PRECEDENCE|CW1-036","SCN-EB026-NESTED-PRECEDENCE","CW1-036","__non_functional__","P1","probe","outputs\coercion_wave1\ECS-EB-026_compatibility_coercion_probe_wave1.csv","","","","probe_reconfirmed","closed_probe_retained","unary minus with exponent precedence probe"
"SCN-EB026-NESTED-PRECEDENCE|CW1-038","SCN-EB026-NESTED-PRECEDENCE","CW1-038","__non_functional__","P1","probe","outputs\coercion_wave1\ECS-EB-026_compatibility_coercion_probe_wave1.csv","","","","probe_reconfirmed","closed_probe_retained","compatibility syntax ambiguity probe current build only"
