"probe_id","scenario_id","target_rules","expected_outcome_class","fixture_requirements","formula_input","target_cell","observed_acceptance","result_class","run_exit_status","evidence_bundle_ref"
"P2-FML-001","FMLP2-001","FML-R-010","probe","baseline grid values in A1,B1","=SUM(A1,,B1)","Sheet1!D1","accepted","probe","success","evidence\FMLP2-001"
"P2-FML-001","FMLP2-002","FML-R-010","probe","baseline grid values in A1,B1","=SUM(,A1,B1)","Sheet1!D1","accepted","probe","success","evidence\FMLP2-002"
"P2-FML-001","FMLP2-003","FML-R-010","probe","baseline grid values in A1,B1","=SUM(A1,B1,)","Sheet1!D1","accepted","probe","success","evidence\FMLP2-003"
"P2-FML-001","FMLP2-004","FML-R-010","probe","baseline grid values in A1,B1","=IF(,A1,B1)","Sheet1!D1","accepted","probe","success","evidence\FMLP2-004"
"P2-FML-001","FMLP2-005","FML-R-010","probe","baseline grid values in A1","=LET(x,,x+1)","Sheet1!D1","accepted","probe","success","evidence\FMLP2-005"
"P2-FML-002","FMLP2-006","FML-R-011","probe","A1 plain numeric","=A1.Price","Sheet1!D1","accepted","probe","success","evidence\FMLP2-006"
"P2-FML-002","FMLP2-007","FML-R-011","probe","A1 plain text","=A1.Price","Sheet1!D1","accepted","probe","success","evidence\FMLP2-007"
"P2-FML-002","FMLP2-008","FML-R-011","probe","A1 linked data type with Price field","=A1.Price","Sheet1!D1","accepted","probe","success","evidence\FMLP2-008"
"P2-FML-002","FMLP2-009","FML-R-011","probe","A1 linked data type","=FIELDVALUE(A1,""Price"")","Sheet1!D1","accepted","probe","success","evidence\FMLP2-009"
"P2-FML-003","FMLP2-010","FML-R-001","accepted","A1,B1 populated","=A1 B1","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-010"
"P2-FML-003","FMLP2-011","FML-R-001","probe","A1,B1 populated","=A1    B1","Sheet1!D1","accepted","probe","success","evidence\FMLP2-011"
"P2-FML-003","FMLP2-012","FML-R-001","accepted","A1:C1 and A1:A3 populated","=SUM(A1:C1  A1:A3)","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-012"
"P2-FML-004","FMLP2-013","FML-R-006","accepted","A1:A3 populated","=LET(x,1,x+2)","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-013"
"P2-FML-004","FMLP2-014","FML-R-006","accepted","A1:A3 populated","=LAMBDA(x,x+1)(2)","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-014"
"P2-FML-004","FMLP2-015","FML-R-006","probe","A1:A3 populated","=MAP(A1:A3,LAMBDA(x,x+1))","Sheet1!D1","accepted","probe","success","evidence\FMLP2-015"
"P2-FML-004","FMLP2-016","FML-R-006","probe","A1:C3 populated","=BYROW(A1:C3,LAMBDA(r,SUM(r)))","Sheet1!D1","accepted","probe","success","evidence\FMLP2-016"
"P2-FML-004","FMLP2-017","FML-R-006","probe","A1:A3 populated","=SCAN(0,A1:A3,LAMBDA(a,b,a+b))","Sheet1!D1","accepted","probe","success","evidence\FMLP2-017"
"P2-FML-004","FMLP2-018","FML-R-006","rejected","A1:A3 populated","=LAMBDA(x,x+1)(1,2","Sheet1!D1","rejected","matches_expected","success","evidence\FMLP2-018"
"P2-FML-005","FMLP2-019","FML-R-008","probe","Workbook name MyName and sheet-local MyName configured","=MyName","Sheet1!D1","accepted","probe","success","evidence\FMLP2-019"
"P2-FML-005","FMLP2-020","FML-R-008","probe","Workbook name MyName configured","=Sheet1!MyName","Sheet1!D1","accepted","probe","success","evidence\FMLP2-020"
"P2-FML-006","FMLP2-021","FML-R-006","probe","Book2.xlsx present with Sheet1!A1","='[Book2.xlsx]Sheet1'!A1","Sheet1!D1","accepted","probe","success","evidence\FMLP2-021"
"P2-FML-006","FMLP2-022","FML-R-006","probe","Book2.xlsx missing","='[MissingBook.xlsx]Sheet1'!A1","Sheet1!D1","accepted","probe","success","evidence\FMLP2-022"
"P2-FML-007","FMLP2-023","FML-R-009","accepted","Table TblParse with Amount column","=SUM(TblParse[Amount])","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-023"
"P2-FML-007","FMLP2-024","FML-R-009","accepted","Inside table row context","=[@Amount]*2","Sheet1!B2","accepted","matches_expected","success","evidence\FMLP2-024"
"P2-FML-007","FMLP2-025","FML-R-009","probe","Table TblParse with Amount column","=SUM(TblParse[[#All],[Amount]])","Sheet1!D1","accepted","probe","success","evidence\FMLP2-025"
