"scenario_id","fixture_profile","fixture_path","manual_prep_required","manual_prep_note"
"FMLP2-001","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-001.xlsx","False",""
"FMLP2-002","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-002.xlsx","False",""
"FMLP2-003","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-003.xlsx","False",""
"FMLP2-004","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-004.xlsx","False",""
"FMLP2-005","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-005.xlsx","False",""
"FMLP2-006","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-006.xlsx","False",""
"FMLP2-007","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-007.xlsx","False",""
"FMLP2-008","manual_linked_data","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-008.xlsx","True","Convert Sheet1!A1 into a linked data type and ensure field ""Price"" is available before execution."
"FMLP2-009","manual_linked_data","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-009.xlsx","True","Convert Sheet1!A1 into a linked data type and ensure field ""Price"" is available before execution."
"FMLP2-010","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-010.xlsx","False",""
"FMLP2-011","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-011.xlsx","False",""
"FMLP2-012","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-012.xlsx","False",""
