"scenario_id","task_id","domain","target","status","display_text","value","formula","operation_statuses","notes"
"NFCP1-FL010-DOUBLE-COMMA","ECS-EB-031","formula_parse_pass2","Sheet1!D1","observed","5","5","=SUM(A1,,B1)","set_calc_mode:ok; edit_cell:ok; recalc:ok",""
"NFCP1-FL011-DOT-FIELD","ECS-EB-032","formula_parse_pass2","Sheet1!D1","observed","#FIELD!","-2146826239","=A1.Price","set_calc_mode:ok; convert_to_linked_data_type:allowed_error; edit_cell:ok; recalc:ok",""
"NFCP1-LINK-PRESENT-OPEN-UPD0","ECS-EB-036","formula_parse_pass2","Sheet1!D1","observed","77","77","=[Book2.xlsx]Sheet1!A1","set_calc_mode:ok; open_support_workbook:ok; edit_cell:ok; recalc:ok",""
"NFCP1-LINK-MISSING","ECS-EB-036","formula_parse_pass2","Sheet1!D1","observed","#REF!","-2146826265","=[MissingBook.xlsx]Sheet1!A1","set_calc_mode:ok; edit_cell:ok; recalc:ok",""
"NFCP1-LINK-PRESENT-OPEN-UPD3","ECS-EB-036","formula_parse_pass2","Sheet1!D1","observed","77","77","=[Book2.xlsx]Sheet1!A1","set_calc_mode:ok; open_support_workbook:ok; edit_cell:ok; recalc:ok",""
"NFCP1-LINK-PRESENT-CLOSED","ECS-EB-036","formula_parse_pass2","Sheet1!D1","observed","#REF!","-2146826265","=[Book2.xlsx]Sheet1!A1","set_calc_mode:ok; edit_cell:ok; recalc:ok",""
"NFCP1-CF-SPILL-TABLE","ECS-EB-033","cf_wave1","Sheet1!B3","observed","3","3","3","set_calc_mode:ok; create_table:ok; clear_cf:ok; add_cf_expression:ok; edit_cell:ok; edit_cell:ok; clear_cf:ok; add_cf_expression:ok; edit_cell:ok; recalc:ok",""
"NFCP1-CF-SPILL-TABLE","ECS-EB-033","cf_wave1","Sheet1!C3","observed","",,"","set_calc_mode:ok; create_table:ok; clear_cf:ok; add_cf_expression:ok; edit_cell:ok; edit_cell:ok; clear_cf:ok; add_cf_expression:ok; edit_cell:ok; recalc:ok",""
"NFCP1-CF-SPILL-TABLE","ECS-EB-033","cf_wave1","Sheet1!C4","observed","",,"","set_calc_mode:ok; create_table:ok; clear_cf:ok; add_cf_expression:ok; edit_cell:ok; edit_cell:ok; clear_cf:ok; add_cf_expression:ok; edit_cell:ok; recalc:ok",""
"NFCP1-TBL-STRUCTREF-SPILL","ECS-EB-034","table_wave1","Sheet1!D2","observed","6","6","=SUM([Val])","set_calc_mode:ok; create_table:ok; edit_cell:ok; edit_cell:ok; edit_cell:ok; recalc:ok; edit_cell:ok; edit_cell:ok; recalc:ok",""
"NFCP1-TBL-STRUCTREF-SPILL","ECS-EB-034","table_wave1","Sheet1!E4","observed","1","1","=SEQUENCE(ROWS([Val]),1,1,1)","set_calc_mode:ok; create_table:ok; edit_cell:ok; edit_cell:ok; edit_cell:ok; recalc:ok; edit_cell:ok; edit_cell:ok; recalc:ok",""
"NFCP1-TBL-STRUCTREF-SPILL","ECS-EB-034","table_wave1","Sheet1!C4","observed","6","6","=[@Val]*2","set_calc_mode:ok; create_table:ok; edit_cell:ok; edit_cell:ok; edit_cell:ok; recalc:ok; edit_cell:ok; edit_cell:ok; recalc:ok",""
"NFCP1-MERGE-UNMERGE-DIRECT","ECS-EK-040","formatting_merge_probe","Sheet1!A2","observed","1","1","1","set_calc_mode:ok; merge_cells:ok; edit_cell:ok; edit_cell:ok; recalc:ok; unmerge_cells:ok; recalc:ok",""
"NFCP1-MERGE-UNMERGE-DIRECT","ECS-EK-040","formatting_merge_probe","Sheet1!B2","observed","",,"","set_calc_mode:ok; merge_cells:ok; edit_cell:ok; edit_cell:ok; recalc:ok; unmerge_cells:ok; recalc:ok",""
"NFCP1-MERGE-UNMERGE-DIRECT","ECS-EK-040","formatting_merge_probe","Sheet1!E2","observed","10","10","=SEQUENCE(2,1,10,10)","set_calc_mode:ok; merge_cells:ok; edit_cell:ok; edit_cell:ok; recalc:ok; unmerge_cells:ok; recalc:ok",""
"NFCP1-MERGE-UNMERGE-DIRECT","ECS-EK-040","formatting_merge_probe","Sheet1!E3","observed","",,"","set_calc_mode:ok; merge_cells:ok; edit_cell:ok; edit_cell:ok; recalc:ok; unmerge_cells:ok; recalc:ok",""
