"source_id","repo","lane","html_url","description","stars","forks","open_issues","watchers","license","primary_language","archived","default_branch","created_at","pushed_at","updated_at","latest_release_tag","latest_release_published_at","captured_utc"
"OOL-001","tafia/calamine","rust","https://github.com/tafia/calamine","A pure Rust Excel/OpenDocument SpreadSheets file reader: rust on metal sheets","2211","218","50","28","MIT","Rust","False","master","2016/06/24 10:44:23","2026/02/28 12:11:58","2026/03/04 16:52:15","v0.33.0","2026/02/04 17:13:11","2026-03-05T10:03:39Z"
"OOL-002","jmcnamara/rust_xlsxwriter","rust","https://github.com/jmcnamara/rust_xlsxwriter","A Rust library for creating Excel XLSX files.","542","40","4","6","Apache-2.0","Rust","False","main","2022/06/17 19:37:20","2026/02/28 19:18:59","2026/03/04 16:55:03","","","2026-03-05T10:03:39Z"
"OOL-003","MathNya/umya-spreadsheet","rust","https://github.com/MathNya/umya-spreadsheet","A pure rust library for reading and writing spreadsheet files","435","68","67","5","MIT","Rust","False","master","2020/08/21 08:21:32","2026/03/05 09:48:38","2026/03/05 09:49:22","1.1.1","2023/12/11 02:39:14","2026-03-05T10:03:39Z"
"OOL-004","qax-os/excelize","go_reference","https://github.com/qax-os/excelize","Go language library for reading and writing Microsoft Excel™ (XLAM / XLSM / XLSX / XLTM / XLTX) spreadsheets","20364","1874","119","247","BSD-3-Clause","Go","False","master","2016/08/29 12:32:12","2026/02/27 00:13:22","2026/03/05 07:42:56","v2.10.1","2026/02/24 23:49:47","2026-03-05T10:03:39Z"
"OOL-005","dotnet/Open-XML-SDK","dotnet_lowlevel","https://github.com/dotnet/Open-XML-SDK","Open XML SDK by Microsoft","4433","580","104","201","MIT","C#","False","main","2014/06/05 16:11:17","2026/03/03 20:34:29","2026/03/05 03:36:16","v3.4.1","2026/01/06 19:30:12","2026-03-05T10:03:39Z"
"OOL-006","ClosedXML/ClosedXML","dotnet_highlevel","https://github.com/ClosedXML/ClosedXML","ClosedXML is a .NET library for reading, manipulating and writing Excel 2007+ (.xlsx, .xlsm) files. It aims to provide an intuitive and user-friendly interface to dealing with the underlying OpenXML API.","5515","914","477","143","MIT","C#","False","develop","2016/08/27 10:28:44","2026/02/19 21:03:07","2026/03/05 09:33:23","0.105.0","2025/05/14 20:49:16","2026-03-05T10:03:39Z"
"OOL-007","apache/poi","java","https://github.com/apache/poi","Mirror of Apache POI gitbox. The Java API for Microsoft Documents.","2200","818","54","71","","Java","False","trunk","2009/05/21 01:15:15","2026/03/05 09:00:30","2026/03/05 09:00:42","","","2026-03-05T10:03:39Z"
"OOL-008","jmcnamara/libxlsxwriter","c_writeonly","https://github.com/jmcnamara/libxlsxwriter","A C library for creating Excel XLSX files.","1721","382","13","58","NOASSERTION","C","False","main","2014/06/08 16:36:03","2026/01/06 21:22:43","2026/03/02 13:44:15","v1.2.4","2026/01/12 10:21:15","2026-03-05T10:03:39Z"
"OOL-009","tfussell/xlnt","cpp","https://github.com/tfussell/xlnt",":bar_chart: Cross-platform user-friendly xlsx library for C++11+","1633","428","212","77","NOASSERTION","C++","False","master","2014/05/06 16:58:23","2024/08/16 10:16:41","2026/03/03 22:06:43","v1.5.0","2020/03/21 19:19:51","2026-03-05T10:03:39Z"
"OOL-010","troldal/OpenXLSX","cpp","https://github.com/troldal/OpenXLSX","A C++ library for reading, writing, creating and modifying Microsoft Excel® (.xlsx) files.","1709","384","48","48","BSD-3-Clause","C++","False","master","2018/03/25 15:16:41","2026/02/23 13:54:05","2026/02/28 05:02:00","v0.3.2","2021/11/06 10:45:19","2026-03-05T10:03:39Z"
"OOL-011","nissl-lab/npoi","dotnet_port","https://github.com/nissl-lab/npoi","a .NET library that can read/write Office formats without Microsoft Office installed. No COM+, no interop.","6139","1486","63","282","Apache-2.0","C#","False","master","2013/01/02 00:59:05","2026/03/05 09:59:17","2026/03/05 09:30:41","2.7.6-rc1","2026/02/27 10:10:19","2026-03-05T10:03:39Z"
