path,sha256,bytes
.\prompts\runs\20260222-011351-prompt-pack\responses\01_spec_stack_gap_finder.md,17400a0e2fae42e9e8a19e54d60fb9b3e40291236b0cd819739eaad93ea8f29f,8955
.\prompts\runs\20260222-011351-prompt-pack\responses\02_lean_module_plan_theorem_backlog.md,66219228f42a6f4b20497d87a109c764df3752abd7fcc94f4257cb97c4aa1c13,8273
.\prompts\runs\20260222-011351-prompt-pack\responses\03_tlaplus_concurrency_protocol_outline.md,24d9d43d06ee03fb325f8accccd534b45ab37e3e6740c62ac3bc1611c9632dc0,8518
.\prompts\runs\20260222-011351-prompt-pack\responses\04_ocaml_oracle_cli_contract_shrinker.md,a5e0cacbb9ecad85585c4b3565497bfcccd2263f2ca91a6b83f79ebc88c0d338,9000
.\prompts\runs\20260222-011351-prompt-pack\responses\05_rust_engine_architecture_review.md,815262542f96f6113b25b237cc2a0d0040e120dba4a45627e210b9f4826c2007,9383
.\prompts\runs\20260222-011351-prompt-pack\responses\06_dotnet_engine_architecture_review.md,4a1bda9b05bd7a5aca700f48c68625ba9e08879f0e0e05ae95d847258d194545,9421
.\prompts\runs\20260222-011351-prompt-pack\responses\07_dotnet_meta_tool_obligation_resolver.md,0d6b324d1f8f75e97186da93a56ba48ad7b1bd6eb4f6e8daaf10f73a0d67fbb7,9681
.\prompts\runs\20260222-011351-prompt-pack\responses\08_clean_room_evidence_log_workflow.md,e904257a6c83c73243c707a87c7d21289cf7ff0f4e0103ad3004d1f399dc950a,6980
.\prompts\runs\20260222-011351-prompt-pack\responses\09_canvas_grid_reliability_test_strategy.md,39c8174e58e117d335445547f692b8f2ab700a8e287c1610ae2a99fe0d39d852,10056
.\prompts\runs\20260222-011351-prompt-pack\responses\10_scaling_signature_suite.md,2422609bb78230c1c5023463e903a14e80ccc58f843426ef5af29342246c4b62,9451
.\prompts\runs\20260222-011351-prompt-pack\responses\11_degrade_gracefully_matrix.md,d3688a3935c0f9c659b368393e530328de61d7fa1252842cac0c4a602e1bb634,8462
.\prompts\runs\20260222-011351-prompt-pack\responses\12_oplog_replication_seam.md,e7dc8b1666beb2c06e5817b6196764d906a286ea711d9a6b91b7fa6346812ce9,6915
