"path","sha256","bytes"
"..\\DnaVisiCalc\\docs\\SPEC_v0.md","a46f55e7c1e25ec0536522d913634110ecab689cbb93c2b47368916fd7ebd979","4923"
"..\\DnaVisiCalc\\docs\\ENGINE_REQUIREMENTS.md","fda3031d1302448511c17717d0244105e5a3569ffb7a2799ad210c08c5b59516","7198"
"..\\DnaVisiCalc\\docs\\ENGINE_API.md","355e37374ffcd8242105a02ab027bf148e2bd0dd3b3307edc873fa9a77b3e99a","53206"
"..\\DnaVisiCalc\\docs\\GAP_ANALYSIS.md","3f2f72902822c089b0d7aabadbd7e24c6cd9c0902af15260df8efd75c3c7009b","14773"
"..\\DnaVisiCalc\\docs\\FOUNDATION_REQUIREMENTS_MAPPING.md","7ad0ce92426de48762b5773b3a954150b4c790e3e5948c7cef0415e78d4c93f6","1039"
"..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","6778bd7830c5c19ab66adaea91aef0da342e6e35d5125a17d899c0cafc06928d","29678"
"synthesis\\runs\\20260226-224457-visicalc-foundation-pass-01\\outputs\\synthesis_report.md","9b6b8ff3ab6e1ad06635819d9942a90112872a71ae2fe9f824c30a7af3b365ca","2670"
"synthesis\\runs\\20260226-224457-visicalc-foundation-pass-01\\decisions\\decision_log.csv","6fba226444696b4cc4fcfcfe5fda831b8aaefb87d6b9ecae0a24fe22697c54b6","4549"
"README.md","b7110a56147cfc3f03a83683ccba52dec7783acc4a101a42a1f9f5be310512a0","1242"
"CHARTER.md","bd151b3f2eeafc7b5870cc7da7517b5660de8000ce4967cc21b3ad4f8753f4d1","5930"
"ARCHITECTURE_AND_REQUIREMENTS.md","3e63e6480b7c5a4b73290130699bfea74cdb6133e08cadb5c4284c03b5c86dea","31009"
"OPERATIONS.md","17f5941595d1198aeef8c2be447a71427e5b502c1525b9cd08027efabe28f147","13522"
"notes\\BRAINSTORM_NOTES.md","667892cedac657c3384b38668892f966b8a67a5f0c338f4af83b59764c173490","7346"
"notes\\RESEARCH_NOTES.md","e08268a513674dce79fe84f2033372c37f53b8dd54a235d485421d5a773ddb22","8373"
