"path","sha256","bytes"
"notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","7d5059d62f7e55cdabc7a7783833cff5f5f4a0e9d7b9024c009234b1f52838ed","26362"
"notes/archive/formal-model/FORMAL_MODEL_REMAINING_NOTES.md","bedd27d69098a8492bc150102feeecc8571789b4f33f16ce9569d8da8d0c6d8c","2863"
"notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","bd931e7cd561c44ecf876216f3f748395bfabcb51821c65860cd7710a78e9ae1","7073"
"CHARTER.md","bd151b3f2eeafc7b5870cc7da7517b5660de8000ce4967cc21b3ad4f8753f4d1","5930"
"ARCHITECTURE_AND_REQUIREMENTS.md","b3407d1bd3c8804277d0e31cc594199f55cc9b47a7fe7cebd220b39cc81ae2e2","23792"
"OPERATIONS.md","95e89c7381343037e60ee053b33923e6006e5eaa44f3993c2538597b925d5789","13605"
"README.md","8604d1bbc8d5de175fe5db0639641dd6f3e7ab170724ae4b5da4695b1f482f00","1377"
"CORE_ENGINE_FORMAL_MODEL.md","19f8fb6f02674652212f83ffb2ebec98a56300e9a34b8c1d621cb3a80061b74d","8503"
"notes/FORMAL_MODELS_IDEAS.md","3dcf19c4d8f8ef4306c33747e611836acd7cc9f3ffc23ba449441578d6512ff9","280"
"notes/FORMAL_MODEL_REMAINING_NOTES.md","141750925a2d0c091480780e5719cecabad2dbbadeeca2e21f1b5218ce39cdc5","298"
"notes/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","58211641ac0ecd4cb7f939fd0e511c6156a01f5e4d8b968878c742943a7b7be6","328"
