"path","sha256","bytes"
"synthesis/runs/20260227-193511-core-engine-model-story-pass-01/inputs/prompt.txt","b79485e594cac906e47a804a98af4517d82baca4a83eabf9a914972bab57ab8b","1111"
"README.md","8604d1bbc8d5de175fe5db0639641dd6f3e7ab170724ae4b5da4695b1f482f00","1377"
"CHARTER.md","bd151b3f2eeafc7b5870cc7da7517b5660de8000ce4967cc21b3ad4f8753f4d1","5930"
"ARCHITECTURE_AND_REQUIREMENTS.md","19abb52c9fcac801bef072eb3eaca21af09df260f021d4ef166c545753302407","20364"
"OPERATIONS.md","95e89c7381343037e60ee053b33923e6006e5eaa44f3993c2538597b925d5789","13605"
"notes/BRAINSTORM_NOTES.md","667892cedac657c3384b38668892f966b8a67a5f0c338f4af83b59764c173490","7346"
"notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","7d5059d62f7e55cdabc7a7783833cff5f5f4a0e9d7b9024c009234b1f52838ed","26362"
"notes/archive/formal-model/FORMAL_MODEL_REMAINING_NOTES.md","bedd27d69098a8492bc150102feeecc8571789b4f33f16ce9569d8da8d0c6d8c","2863"
"notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","bd931e7cd561c44ecf876216f3f748395bfabcb51821c65860cd7710a78e9ae1","7073"
"CORE_ENGINE_FORMAL_MODEL.md","7f2370ad60edb29b65e508cb99a0bee4ddbd8acd51a46d1849846acfccc0108b","13952"
"notes/FORMAL_MODELS_IDEAS.md","3dcf19c4d8f8ef4306c33747e611836acd7cc9f3ffc23ba449441578d6512ff9","280"
"notes/FORMAL_MODEL_REMAINING_NOTES.md","141750925a2d0c091480780e5719cecabad2dbbadeeca2e21f1b5218ce39cdc5","298"
"notes/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","58211641ac0ecd4cb7f939fd0e511c6156a01f5e4d8b968878c742943a7b7be6","328"
