run_id,stage,status,start_utc,end_utc,artifact,notes
20260307-223304-core-engine-dag-fec-synthesis-pass-01,init,completed,2026-03-07T22:34:24Z,2026-03-07T22:34:24Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/README.md,run scaffold initialized for discussion-first synthesis prep
20260307-223304-core-engine-dag-fec-synthesis-pass-01,input_freeze,completed,2026-03-07T22:34:24Z,2026-03-07T22:34:24Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/source_hashes.csv,input source set frozen for this discussion pass
20260307-223304-core-engine-dag-fec-synthesis-pass-01,pre_analysis,completed,2026-03-07T22:34:24Z,2026-03-07T22:34:24Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/01_gap_map.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/02_prompt_pack_draft.md,gap map and prompt draft seeded
20260307-223304-core-engine-dag-fec-synthesis-pass-01,suggestion_index,completed,2026-03-07T22:34:24Z,2026-03-07T22:34:24Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/suggestion_index.csv,initial synthesis suggestions CDS001-CDS006 proposed
20260307-223304-core-engine-dag-fec-synthesis-pass-01,discussion_update,completed,2026-03-07T22:42:00Z,2026-03-07T22:44:00Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/design_brief.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/01_gap_map.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/02_prompt_pack_draft.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/suggestion_index.csv,added formatting-sensitive calc-time overlay scope and CDS007 proposal
20260307-223304-core-engine-dag-fec-synthesis-pass-01,discussion_update,completed,2026-03-07T22:50:00Z,2026-03-07T22:52:00Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/design_brief.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/01_gap_map.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/02_prompt_pack_draft.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/suggestion_index.csv,added visibility-state and optional visible-first scheduler scope with CDS008 and DEC-CALC-008
20260307-223304-core-engine-dag-fec-synthesis-pass-01,stable_entries,completed,2026-03-08T06:55:00Z,2026-03-08T06:57:00Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/03_stable_topic_entries.md,documented stable entries for DEC-CALC-007 and DEC-CALC-008
20260307-223304-core-engine-dag-fec-synthesis-pass-01,intake_hardening,completed,2026-03-08T06:57:00Z,2026-03-08T07:00:00Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/topic_additions_queue.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/intake_items.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/decisions/open_decisions_register.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/04_readiness_checklist.md,intake mode prepared for adding more topics before formal synthesis execution
20260307-223304-core-engine-dag-fec-synthesis-pass-01,redesign_review_ingest,completed,2026-03-08T07:01:00Z,2026-03-08T07:20:00Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/05_fec_f3e_redesign_review.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/source_run.txt;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/source_hashes.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/suggestion_index.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/intake_items.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/decisions/decision_log.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/decisions/open_decisions_register.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/03_stable_topic_entries.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/04_readiness_checklist.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/synthesis_report.md,ingested DnaVisiCalc FEC/F3E redesign docs and traces with conditional-go adoption gate and blocker catalog
20260307-223304-core-engine-dag-fec-synthesis-pass-01,b4_pointer_intake,completed,2026-03-08T07:22:00Z,2026-03-08T07:28:00Z,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/06_fec_f3e_b4_pointer_intake.md;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/source_run.txt;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/inputs/source_hashes.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/suggestion_index.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/intake_items.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/decisions/decision_log.csv;synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/synthesis_report.md,ingested post-review b4 pointer bundle as canonical FEC/F3E synthesis input set
